y_sym,X_sym,period,start_date,end_date,beta,r2
NVDA,NQ,morning,20251001,20251022,1.3444216550007768,0.27814645607052
NVDA,NQ,day,20251001,20251022,1.4421697418811532,0.5201885108490751
NVDA,NQ,night,20251001,20251022,0.5002550099083607,0.125825869012735
TSLA,NQ,morning,20251001,20251022,1.2140766503678029,0.188453490038726
TSLA,NQ,day,20251001,20251022,1.703470905896097,0.3260893702765307
TSLA,NQ,night,20251001,20251022,0.4559764479887913,0.0636099112619035
HOOD,NQ,morning,20251001,20251022,1.0747098176636816,0.0709108519893539
HOOD,NQ,day,20251001,20251022,1.8692241756216448,0.3090413379395125
HOOD,NQ,night,20251001,20251022,0.2531083069017351,0.0036878977934798
INTC,NQ,morning,20251001,20251022,1.3175498955380291,0.0917376034429117
INTC,NQ,day,20251001,20251022,1.712403132312187,0.2584621585402332
INTC,NQ,night,20251001,20251022,0.3966664927957887,0.0172017238646574
PLTR,NQ,morning,20251001,20251022,1.2904148889340477,0.1872730059353502
PLTR,NQ,day,20251001,20251022,1.7885555335265448,0.402351877532366
PLTR,NQ,night,20251001,20251022,0.3314669213307128,0.020050791045887
COIN,NQ,morning,20251001,20251022,1.111619888303204,0.0907628268429573
COIN,NQ,day,20251001,20251022,1.8579328470339689,0.2879474667707639
COIN,NQ,night,20251001,20251022,0.110089767031758,0.0009253390773595
META,NQ,morning,20251001,20251022,0.4681236785386054,0.0400527593055293
META,NQ,day,20251001,20251022,0.9390661449513448,0.3321318093206853
META,NQ,night,20251001,20251022,0.3614902797111448,0.0371914515293778
AAPL,NQ,morning,20251001,20251022,0.6400652976149536,0.0911138742396857
AAPL,NQ,day,20251001,20251022,0.8123640853158247,0.3103295367308557
AAPL,NQ,night,20251001,20251022,0.4137934218983068,0.0500384935007151
MSFT,NQ,morning,20251001,20251022,0.4024811096952858,0.0369530126582744
MSFT,NQ,day,20251001,20251022,0.7414128623353516,0.3855471259503673
MSFT,NQ,night,20251001,20251022,0.2703000903936138,0.0230485404128859
ORCL,NQ,morning,20251001,20251022,0.8231177523128091,0.0531840729938043
ORCL,NQ,day,20251001,20251022,1.381073258277152,0.2243544122233112
ORCL,NQ,night,20251001,20251022,0.4807132947290681,0.0266362154189534
GOOGL,NQ,morning,20251001,20251022,0.8254167423832595,0.1245951922450564
GOOGL,NQ,day,20251001,20251022,0.9839107179970464,0.3215257219199169
GOOGL,NQ,night,20251001,20251022,0.6958470997141762,0.0602873103483851
AMZN,NQ,morning,20251001,20251022,0.661619726607541,0.0994292315951659
AMZN,NQ,day,20251001,20251022,1.008518724605236,0.4071293704418608
AMZN,NQ,night,20251001,20251022,0.3215713968236768,0.0298016493720709
AMD,NQ,morning,20251001,20251022,1.7132433183218103,0.1281170357622827
AMD,NQ,day,20251001,20251022,1.8885650171082784,0.3169571088233919
AMD,NQ,night,20251001,20251022,0.594365962416967,0.0416813321331468
COST,NQ,morning,20251001,20251022,0.7295007691736911,0.1179987281166737
COST,NQ,day,20251001,20251022,0.2122266492664975,0.0301634383304418
COST,NQ,night,20251001,20251022,0.1394941598780595,0.0020089846440245
NFLX,NQ,morning,20251001,20251022,0.1948484277990174,0.0035790043631771
