variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
254,16,3,1,0.0001,0.5,0.5,0.2,30,1,2117.88,2156.31,38.43,1.04,488,4127.97
255,24,3,1,0.0001,0.5,0.5,0.2,30,1,2133.50,2172.44,38.94,1.01,490,4258.75
256,8,6,1,0.0001,0.5,0.5,0.2,30,1,2218.34,2259.39,41.05,1.02,519,4550.35
257,10,6,1,0.0001,0.5,0.5,0.2,30,1,2279.43,2320.74,41.31,1.01,522,4594.12
258,16,6,1,0.0001,0.5,0.5,0.2,30,1,2254.23,2295.53,41.30,1.04,521,4780.47
259,24,6,1,0.0001,0.5,0.5,0.2,30,1,2299.95,2341.14,41.19,1.01,520,4584.97
260,8,10,1,0.0001,0.5,0.5,0.2,30,1,2193.63,2234.81,41.17,1.03,519,4557.59
261,10,10,1,0.0001,0.5,0.5,0.2,30,1,2240.95,2282.02,41.07,1.01,515,4586.86
262,16,10,1,0.0001,0.5,0.5,0.2,30,1,2256.99,2298.30,41.31,1.05,522,4701.71
263,24,10,1,0.0001,0.5,0.5,0.2,30,1,2201.53,2242.90,41.37,1.03,523,4563.96
264,8,3,2,0.0001,0.5,0.5,0.2,30,1,2086.27,2123.48,37.22,1.00,471,3816.57
265,10,3,2,0.0001,0.5,0.5,0.2,30,1,1984.10,2021.25,37.15,0.99,472,3698.83
266,16,3,2,0.0001,0.5,0.5,0.2,30,1,2014.21,2051.42,37.22,0.94,471,3837.68
267,24,3,2,0.0001,0.5,0.5,0.2,30,1,2115.38,2152.38,37.00,0.98,470,4068.66
268,8,6,2,0.0001,0.5,0.5,0.2,30,1,2059.49,2098.11,38.62,1.02,484,4315.13
269,10,6,2,0.0001,0.5,0.5,0.2,30,1,2171.29,2209.55,38.27,0.97,485,4278.84
270,16,6,2,0.0001,0.5,0.5,0.2,30,1,2192.69,2230.95,38.26,0.99,483,4332.02
271,24,6,2,0.0001,0.5,0.5,0.2,30,1,2096.62,2135.01,38.38,0.97,485,4106.49
272,8,10,2,0.0001,0.5,0.5,0.2,30,1,2057.15,2095.61,38.46,0.98,484,4170.56
273,10,10,2,0.0001,0.5,0.5,0.2,30,1,2223.59,2261.99,38.40,0.98,486,4495.15
274,16,10,2,0.0001,0.5,0.5,0.2,30,1,2215.55,2254.16,38.60,0.99,487,4424.71
275,24,10,2,0.0001,0.5,0.5,0.2,30,1,2233.63,2271.99,38.36,0.98,482,4594.79
276,8,3,4,0.0001,0.5,0.5,0.2,30,1,1645.34,1676.57,31.23,0.86,381,2842.60
277,10,3,4,0.0001,0.5,0.5,0.2,30,1,1636.73,1668.06,31.32,0.91,385,3044.32
278,16,3,4,0.0001,0.5,0.5,0.2,30,1,1603.25,1634.65,31.40,0.95,382,2977.87
279,24,3,4,0.0001,0.5,0.5,0.2,30,1,1513.49,1544.73,31.25,0.89,380,2633.57
280,8,6,4,0.0001,0.5,0.5,0.2,30,1,1609.22,1641.00,31.78,0.90,389,2990.07
281,10,6,4,0.0001,0.5,0.5,0.2,30,1,1744.74,1776.66,31.92,0.89,387,3193.82
282,16,6,4,0.0001,0.5,0.5,0.2,30,1,1613.78,1645.62,31.84,0.85,388,2978.25
283,24,6,4,0.0001,0.5,0.5,0.2,30,1,1722.87,1754.60,31.74,0.91,388,3313.63
284,8,10,4,0.0001,0.5,0.5,0.2,30,1,1644.98,1676.71,31.73,0.91,388,2978.63
285,10,10,4,0.0001,0.5,0.5,0.2,30,1,1615.05,1647.04,31.99,0.85,390,2925.84
286,16,10,4,0.0001,0.5,0.5,0.2,30,1,1681.54,1713.73,32.19,0.93,391,3313.33
287,24,10,4,0.0001,0.5,0.5,0.2,30,1,1601.26,1633.13,31.87,0.88,388,2834.85
288,8,3,1,5e-05,0,1,0.2,30,1,2324.84,2387.69,62.85,0.88,786,3916.34
289,10,3,1,5e-05,0,1,0.2,30,1,2283.97,2346.72,62.75,0.84,788,3819.23
290,16,3,1,5e-05,0,1,0.2,30,1,2350.63,2413.59,62.97,0.81,788,4038.30
291,24,3,1,5e-05,0,1,0.2,30,1,2340.83,2403.64,62.81,0.83,790,3712.38
292,8,6,1,5e-05,0,1,0.2,30,1,2372.71,2444.47,71.76,0.90,897,4050.45
293,10,6,1,5e-05,0,1,0.2,30,1,2375.93,2447.43,71.51,0.84,896,4009.93
294,16,6,1,5e-05,0,1,0.2,30,1,2313.55,2385.17,71.62,0.85,896,4052.45
295,24,6,1,5e-05,0,1,0.2,30,1,2394.40,2466.03,71.63,0.86,899,4101.05
296,8,10,1,5e-05,0,1,0.2,30,1,2464.74,2536.28,71.54,0.95,898,4498.75
297,10,10,1,5e-05,0,1,0.2,30,1,2339.18,2411.23,72.05,0.82,900,3641.37
298,16,10,1,5e-05,0,1,0.2,30,1,2438.13,2510.22,72.10,0.85,907,4278.47
299,24,10,1,5e-05,0,1,0.2,30,1,2379.41,2451.57,72.16,0.90,905,4472.01
300,8,3,2,5e-05,0,1,0.2,30,1,2290.72,2352.69,61.97,0.85,778,3763.96
301,10,3,2,5e-05,0,1,0.2,30,1,2274.67,2336.33,61.66,0.85,774,3846.03
302,16,3,2,5e-05,0,1,0.2,30,1,2303.25,2365.71,62.46,0.82,779,3681.27
303,24,3,2,5e-05,0,1,0.2,30,1,2335.01,2396.98,61.97,0.83,777,3264.22
304,8,6,2,5e-05,0,1,0.2,30,1,2376.67,2442.85,66.18,0.88,831,3630.77
305,10,6,2,5e-05,0,1,0.2,30,1,2457.29,2524.05,66.76,0.89,837,4350.69
306,16,6,2,5e-05,0,1,0.2,30,1,2421.25,2488.41,67.16,0.86,841,4490.26
307,24,6,2,5e-05,0,1,0.2,30,1,2460.97,2527.80,66.82,0.86,839,4553.37
308,8,10,2,5e-05,0,1,0.2,30,1,2428.42,2495.30,66.89,0.91,836,4381.78
309,10,10,2,5e-05,0,1,0.2,30,1,2500.37,2567.02,66.66,0.89,837,4521.34
310,16,10,2,5e-05,0,1,0.2,30,1,2485.12,2552.01,66.90,0.86,839,4550.68
311,24,10,2,5e-05,0,1,0.2,30,1,2497.98,2564.80,66.81,0.85,837,4503.52
312,8,3,4,5e-05,0,1,0.2,30,1,2080.78,2140.71,59.93,0.78,750,2645.15
313,10,3,4,5e-05,0,1,0.2,30,1,2117.09,2177.25,60.16,0.75,756,2692.18
314,16,3,4,5e-05,0,1,0.2,30,1,2219.03,2278.95,59.92,0.81,754,3501.11
315,24,3,4,5e-05,0,1,0.2,30,1,2159.39,2219.80,60.41,0.77,754,3503.91
316,8,6,4,5e-05,0,1,0.2,30,1,2129.07,2191.31,62.24,0.84,781,3685.11
317,10,6,4,5e-05,0,1,0.2,30,1,2183.53,2245.97,62.44,0.79,782,3387.06
318,16,6,4,5e-05,0,1,0.2,30,1,2225.16,2287.08,61.92,0.80,781,3494.16
319,24,6,4,5e-05,0,1,0.2,30,1,2244.58,2306.75,62.17,0.81,783,3490.11
320,8,10,4,5e-05,0,1,0.2,30,1,2207.93,2269.71,61.78,0.89,776,3708.51
321,10,10,4,5e-05,0,1,0.2,30,1,2271.52,2333.77,62.25,0.86,780,3987.67
322,16,10,4,5e-05,0,1,0.2,30,1,2217.89,2280.30,62.41,0.84,787,3603.19
323,24,10,4,5e-05,0,1,0.2,30,1,2229.87,2292.34,62.47,0.80,787,3177.37
324,8,3,1,0.0001,0,1,0.2,30,1,1998.17,2041.30,43.14,0.99,545,4025.95
325,10,3,1,0.0001,0,1,0.2,30,1,1977.14,2020.18,43.03,0.97,543,3758.55
326,16,3,1,0.0001,0,1,0.2,30,1,1942.29,1985.09,42.81,0.98,546,3866.84
327,24,3,1,0.0001,0,1,0.2,30,1,2066.38,2109.43,43.05,0.96,545,3912.86
328,8,6,1,0.0001,0,1,0.2,30,1,2167.17,2213.12,45.95,1.02,581,4280.59
329,10,6,1,0.0001,0,1,0.2,30,1,2051.74,2097.46,45.72,0.96,578,4217.49
330,16,6,1,0.0001,0,1,0.2,30,1,2128.01,2174.20,46.19,0.92,585,4073.16
331,24,6,1,0.0001,0,1,0.2,30,1,2206.84,2252.95,46.11,1.00,586,4565.94
332,8,10,1,0.0001,0,1,0.2,30,1,2100.28,2146.33,46.05,0.97,584,4175.71
333,10,10,1,0.0001,0,1,0.2,30,1,2181.17,2227.09,45.92,0.98,579,4408.48
334,16,10,1,0.0001,0,1,0.2,30,1,2183.17,2229.16,45.99,0.98,582,4664.35
335,24,10,1,0.0001,0,1,0.2,30,1,2134.58,2180.64,46.06,0.95,584,4335.33
336,8,3,2,0.0001,0,1,0.2,30,1,1843.53,1884.96,41.43,0.97,525,3529.41
337,10,3,2,0.0001,0,1,0.2,30,1,1892.39,1933.54,41.15,0.93,524,3492.57
338,16,3,2,0.0001,0,1,0.2,30,1,2002.45,2043.84,41.39,0.96,524,3907.58
339,24,3,2,0.0001,0,1,0.2,30,1,1921.70,1963.10,41.41,0.94,527,3843.11
340,8,6,2,0.0001,0,1,0.2,30,1,2023.58,2066.35,42.76,1.01,539,3958.82
341,10,6,2,0.0001,0,1,0.2,30,1,2013.44,2056.07,42.63,0.95,539,4012.11
342,16,6,2,0.0001,0,1,0.2,30,1,2073.18,2115.88,42.70,1.04,542,4157.78
343,24,6,2,0.0001,0,1,0.2,30,1,2007.36,2050.29,42.94,0.94,546,4044.92
344,8,10,2,0.0001,0,1,0.2,30,1,1957.08,1999.72,42.64,0.93,542,4329.28
345,10,10,2,0.0001,0,1,0.2,30,1,2064.09,2106.86,42.77,1.01,542,4168.13
346,16,10,2,0.0001,0,1,0.2,30,1,2007.54,2049.94,42.40,0.97,541,3925.24
347,24,10,2,0.0001,0,1,0.2,30,1,1993.59,2036.20,42.61,0.93,537,3652.94
348,8,3,4,0.0001,0,1,0.2,30,1,1504.67,1540.15,35.47,0.84,434,2538.11
349,10,3,4,0.0001,0,1,0.2,30,1,1431.25,1466.24,34.99,0.82,425,2307.86
350,16,3,4,0.0001,0,1,0.2,30,1,1407.31,1442.39,35.08,0.81,431,2260.78
351,24,3,4,0.0001,0,1,0.2,30,1,1519.46,1554.97,35.51,0.84,433,2503.14
352,8,6,4,0.0001,0,1,0.2,30,1,1477.71,1513.25,35.55,0.79,434,2492.14
353,10,6,4,0.0001,0,1,0.2,30,1,1548.34,1583.63,35.28,0.91,434,2917.59
354,16,6,4,0.0001,0,1,0.2,30,1,1439.89,1475.79,35.90,0.80,437,2420.22
355,24,6,4,0.0001,0,1,0.2,30,1,1546.77,1582.18,35.41,0.85,439,2809.05
356,8,10,4,0.0001,0,1,0.2,30,1,1480.99,1516.71,35.72,0.83,438,2598.27
357,10,10,4,0.0001,0,1,0.2,30,1,1524.53,1560.18,35.65,0.85,433,2701.69
358,16,10,4,0.0001,0,1,0.2,30,1,1531.51,1567.15,35.64,0.82,435,2781.50
359,24,10,4,0.0001,0,1,0.2,30,1,1486.22,1521.76,35.53,0.81,437,2625.85
360,8,3,1,5e-05,0.5,1,0.2,30,1,2313.44,2363.95,50.51,0.95,636,4090.14
361,10,3,1,5e-05,0.5,1,0.2,30,1,2350.77,2401.38,50.61,0.89,637,3841.34
362,16,3,1,5e-05,0.5,1,0.2,30,1,2336.24,2387.15,50.91,0.91,638,3985.36
363,24,3,1,5e-05,0.5,1,0.2,30,1,2246.70,2297.69,50.99,0.91,638,3788.43
364,8,6,1,5e-05,0.5,1,0.2,30,1,2481.77,2538.85,57.08,1.02,718,4558.61
365,10,6,1,5e-05,0.5,1,0.2,30,1,2559.12,2616.51,57.39,0.98,719,4701.95
366,16,6,1,5e-05,0.5,1,0.2,30,1,2506.68,2564.03,57.35,0.94,720,4585.91
367,24,6,1,5e-05,0.5,1,0.2,30,1,2487.86,2545.45,57.60,0.93,721,4442.60
368,8,10,1,5e-05,0.5,1,0.2,30,1,2429.78,2486.97,57.19,1.04,717,4691.49
369,10,10,1,5e-05,0.5,1,0.2,30,1,2502.87,2560.48,57.61,0.93,719,4241.03
370,16,10,1,5e-05,0.5,1,0.2,30,1,2418.41,2476.19,57.77,0.95,722,4270.83
371,24,10,1,5e-05,0.5,1,0.2,30,1,2481.49,2539.03,57.55,0.91,720,4356.18
372,8,3,2,5e-05,0.5,1,0.2,30,1,2279.94,2330.30,50.37,0.91,633,3630.98
373,10,3,2,5e-05,0.5,1,0.2,30,1,2277.14,2327.45,50.32,0.87,634,3806.12
374,16,3,2,5e-05,0.5,1,0.2,30,1,2388.58,2439.36,50.78,0.89,634,4104.39
375,24,3,2,5e-05,0.5,1,0.2,30,1,2300.09,2350.30,50.21,0.89,632,3871.48
376,8,6,2,5e-05,0.5,1,0.2,30,1,2514.07,2567.12,53.05,1.00,665,4433.86
377,10,6,2,5e-05,0.5,1,0.2,30,1,2531.37,2585.18,53.81,0.94,673,4403.08
378,16,6,2,5e-05,0.5,1,0.2,30,1,2469.50,2523.53,54.03,0.92,675,4234.89
379,24,6,2,5e-05,0.5,1,0.2,30,1,2447.39,2501.14,53.75,0.92,675,4507.05
380,8,10,2,5e-05,0.5,1,0.2,30,1,2446.23,2499.68,53.45,1.04,672,4475.50
381,10,10,2,5e-05,0.5,1,0.2,30,1,2478.28,2532.42,54.14,0.92,675,4246.12
382,16,10,2,5e-05,0.5,1,0.2,30,1,2516.56,2570.48,53.92,0.90,676,4596.40
383,24,10,2,5e-05,0.5,1,0.2,30,1,2592.65,2646.72,54.06,0.97,676,5052.39
384,8,3,4,5e-05,0.5,1,0.2,30,1,2123.11,2171.73,48.62,0.89,612,3612.04
385,10,3,4,5e-05,0.5,1,0.2,30,1,2188.50,2236.87,48.38,0.80,609,3307.68
386,16,3,4,5e-05,0.5,1,0.2,30,1,2164.59,2213.34,48.76,0.81,612,2929.56
387,24,3,4,5e-05,0.5,1,0.2,30,1,2178.68,2227.50,48.82,0.83,613,3534.95
388,8,6,4,5e-05,0.5,1,0.2,30,1,2201.63,2251.42,49.80,0.84,626,3513.89
389,10,6,4,5e-05,0.5,1,0.2,30,1,2255.31,2305.33,50.01,0.86,630,3804.35
390,16,6,4,5e-05,0.5,1,0.2,30,1,2256.31,2306.58,50.27,0.85,631,3632.42
391,24,6,4,5e-05,0.5,1,0.2,30,1,2260.23,2310.64,50.40,0.86,633,3863.25
392,8,10,4,5e-05,0.5,1,0.2,30,1,2229.27,2278.92,49.65,0.86,621,3615.68
393,10,10,4,5e-05,0.5,1,0.2,30,1,2286.24,2336.34,50.10,0.87,628,3786.65
394,16,10,4,5e-05,0.5,1,0.2,30,1,2297.84,2347.69,49.85,0.82,633,3813.23
395,24,10,4,5e-05,0.5,1,0.2,30,1,2266.62,2316.77,50.15,0.84,631,3634.74
396,8,3,1,0.0001,0.5,1,0.2,30,1,2096.28,2132.20,35.92,0.99,454,3958.03
397,10,3,1,0.0001,0.5,1,0.2,30,1,1996.79,2032.67,35.88,1.00,457,3759.62
398,16,3,1,0.0001,0.5,1,0.2,30,1,2048.18,2083.99,35.81,1.02,454,4088.91
399,24,3,1,0.0001,0.5,1,0.2,30,1,1995.54,2031.44,35.90,1.00,458,3950.08
400,8,6,1,0.0001,0.5,1,0.2,30,1,2074.32,2112.40,38.08,0.99,482,4401.53
401,10,6,1,0.0001,0.5,1,0.2,30,1,2099.25,2137.59,38.34,0.96,483,4262.24
402,16,6,1,0.0001,0.5,1,0.2,30,1,2117.20,2155.62,38.42,0.98,487,4080.53
403,24,6,1,0.0001,0.5,1,0.2,30,1,2136.37,2174.60,38.24,1.02,481,4406.60
404,8,10,1,0.0001,0.5,1,0.2,30,1,2152.35,2190.67,38.32,1.01,487,4574.82
405,10,10,1,0.0001,0.5,1,0.2,30,1,2096.26,2134.92,38.66,1.03,489,4387.80
406,16,10,1,0.0001,0.5,1,0.2,30,1,2094.27,2132.77,38.50,1.01,486,4490.87
407,24,10,1,0.0001,0.5,1,0.2,30,1,2106.06,2144.53,38.47,1.04,482,4536.95
408,8,3,2,0.0001,0.5,1,0.2,30,1,1979.75,2014.33,34.58,0.98,439,3901.85
409,10,3,2,0.0001,0.5,1,0.2,30,1,1960.03,1994.74,34.72,0.96,440,3761.69
410,16,3,2,0.0001,0.5,1,0.2,30,1,1942.88,1977.42,34.54,0.91,438,3843.54
411,24,3,2,0.0001,0.5,1,0.2,30,1,2018.97,2053.48,34.51,0.99,439,3951.05
412,8,6,2,0.0001,0.5,1,0.2,30,1,2022.42,2058.14,35.72,0.99,454,4083.41
413,10,6,2,0.0001,0.5,1,0.2,30,1,2006.09,2041.79,35.70,0.99,452,4098.34
414,16,6,2,0.0001,0.5,1,0.2,30,1,2038.88,2074.61,35.73,0.99,453,4248.91
415,24,6,2,0.0001,0.5,1,0.2,30,1,1975.99,2011.66,35.67,0.96,454,3935.50
416,8,10,2,0.0001,0.5,1,0.2,30,1,2055.37,2090.71,35.34,1.01,451,4210.83
417,10,10,2,0.0001,0.5,1,0.2,30,1,1988.50,2024.09,35.59,0.96,454,3992.36
418,16,10,2,0.0001,0.5,1,0.2,30,1,2065.72,2101.17,35.45,1.01,449,4197.14
419,24,10,2,0.0001,0.5,1,0.2,30,1,2070.12,2105.99,35.87,1.02,452,4294.54
420,8,3,4,0.0001,0.5,1,0.2,30,1,1524.73,1554.10,29.36,0.89,359,2667.69
421,10,3,4,0.0001,0.5,1,0.2,30,1,1329.73,1359.53,29.80,0.74,365,1815.56
422,16,3,4,0.0001,0.5,1,0.2,30,1,1472.96,1502.07,29.10,0.82,358,2333.34
423,24,3,4,0.0001,0.5,1,0.2,30,1,1448.24,1477.48,29.24,0.87,360,2676.22
424,8,6,4,0.0001,0.5,1,0.2,30,1,1468.23,1498.11,29.87,0.82,365,2607.14
425,10,6,4,0.0001,0.5,1,0.2,30,1,1483.82,1513.55,29.73,0.78,365,2430.08
426,16,6,4,0.0001,0.5,1,0.2,30,1,1414.17,1444.09,29.92,0.76,364,2513.10
427,24,6,4,0.0001,0.5,1,0.2,30,1,1457.09,1486.60,29.51,0.81,361,2663.84
428,8,10,4,0.0001,0.5,1,0.2,30,1,1481.60,1511.41,29.80,0.85,363,2398.74
429,10,10,4,0.0001,0.5,1,0.2,30,1,1548.46,1578.06,29.60,0.88,362,3080.28
430,16,10,4,0.0001,0.5,1,0.2,30,1,1510.69,1540.26,29.58,0.80,364,2427.07
431,24,10,4,0.0001,0.5,1,0.2,30,1,1504.59,1534.56,29.96,0.88,366,2879.38
432,8,3,1,5e-05,0,0,0.5,30,1,2369.01,2443.78,74.77,0.81,931,3182.94
433,10,3,1,5e-05,0,0,0.5,30,1,2539.23,2614.08,74.85,0.78,927,3207.98
434,16,3,1,5e-05,0,0,0.5,30,1,2388.86,2463.80,74.93,0.76,933,3304.75
435,24,3,1,5e-05,0,0,0.5,30,1,2363.45,2438.25,74.80,0.73,933,3105.12
436,8,6,1,5e-05,0,0,0.5,30,1,2343.89,2430.57,86.68,0.80,1093,3221.28
437,10,6,1,5e-05,0,0,0.5,30,1,2517.28,2604.63,87.35,0.77,1095,2665.34
438,16,6,1,5e-05,0,0,0.5,30,1,2503.63,2591.16,87.52,0.73,1095,2622.27
439,24,6,1,5e-05,0,0,0.5,30,1,2406.72,2494.14,87.42,0.73,1095,2551.61
440,8,10,1,5e-05,0,0,0.5,30,1,2501.55,2589.00,87.44,0.84,1092,4134.57
441,10,10,1,5e-05,0,0,0.5,30,1,2607.84,2695.93,88.09,0.81,1103,3517.15
442,16,10,1,5e-05,0,0,0.5,30,1,2623.87,2712.29,88.42,0.78,1104,2890.45
443,24,10,1,5e-05,0,0,0.5,30,1,2561.88,2650.81,88.93,0.77,1109,2702.44
444,8,3,2,5e-05,0,0,0.5,30,1,2384.27,2457.21,72.94,0.84,908,3258.21
445,10,3,2,5e-05,0,0,0.5,30,1,2467.65,2541.00,73.35,0.78,912,3227.14
446,16,3,2,5e-05,0,0,0.5,30,1,2264.39,2337.56,73.18,0.72,916,2915.11
447,24,3,2,5e-05,0,0,0.5,30,1,2343.95,2417.56,73.61,0.74,919,2562.89
448,8,6,2,5e-05,0,0,0.5,30,1,2464.97,2545.42,80.45,0.85,1000,3758.02
449,10,6,2,5e-05,0,0,0.5,30,1,2479.87,2560.68,80.81,0.75,1006,2824.71
450,16,6,2,5e-05,0,0,0.5,30,1,2402.23,2483.18,80.95,0.76,1010,2745.93
451,24,6,2,5e-05,0,0,0.5,30,1,2436.28,2517.01,80.73,0.73,1008,2249.40
452,8,10,2,5e-05,0,0,0.5,30,1,2466.13,2546.03,79.90,0.84,996,3765.51
453,10,10,2,5e-05,0,0,0.5,30,1,2499.53,2580.14,80.61,0.79,1002,2693.01
454,16,10,2,5e-05,0,0,0.5,30,1,2494.64,2575.37,80.73,0.74,1015,2890.88
455,24,10,2,5e-05,0,0,0.5,30,1,2384.69,2465.57,80.88,0.70,1015,2617.57
456,8,3,4,5e-05,0,0,0.5,30,1,2173.90,2244.99,71.09,0.75,882,2663.17
457,10,3,4,5e-05,0,0,0.5,30,1,2368.04,2439.53,71.49,0.75,891,2931.54
458,16,3,4,5e-05,0,0,0.5,30,1,2183.30,2254.74,71.44,0.70,890,2334.28
4
