variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
53,10,6,2,0.0001,0,0,0.2,30,1,2295.42,2347.67,52.26,0.86,647,3857.22
54,16,6,2,0.0001,0,0,0.2,30,1,2261.88,2314.50,52.62,0.80,653,3711.86
55,24,6,2,0.0001,0,0,0.2,30,1,2349.34,2401.63,52.30,0.84,649,3948.35
56,8,10,2,0.0001,0,0,0.2,30,1,2330.21,2382.08,51.87,0.88,646,4065.43
57,10,10,2,0.0001,0,0,0.2,30,1,2377.17,2429.29,52.12,0.86,647,4175.59
58,16,10,2,0.0001,0,0,0.2,30,1,2410.57,2462.87,52.30,0.87,648,4212.04
59,24,10,2,0.0001,0,0,0.2,30,1,2413.20,2465.59,52.39,0.86,651,4053.21
60,8,3,4,0.0001,0,0,0.2,30,1,1802.30,1844.79,42.49,0.89,513,3031.46
61,10,3,4,0.0001,0,0,0.2,30,1,1661.16,1703.93,42.77,0.79,516,2316.17
62,16,3,4,0.0001,0,0,0.2,30,1,1729.23,1772.04,42.81,0.79,516,2429.43
63,24,3,4,0.0001,0,0,0.2,30,1,1695.10,1737.83,42.73,0.77,513,2208.32
64,8,6,4,0.0001,0,0,0.2,30,1,1851.67,1894.60,42.93,0.85,518,2988.27
65,10,6,4,0.0001,0,0,0.2,30,1,1805.30,1848.22,42.92,0.82,518,2554.64
66,16,6,4,0.0001,0,0,0.2,30,1,1750.32,1793.56,43.23,0.83,519,2859.11
67,24,6,4,0.0001,0,0,0.2,30,1,1767.94,1810.78,42.84,0.84,521,2964.45
68,8,10,4,0.0001,0,0,0.2,30,1,1738.50,1781.38,42.88,0.86,520,2573.09
69,10,10,4,0.0001,0,0,0.2,30,1,1780.03,1822.85,42.82,0.89,518,3134.58
70,16,10,4,0.0001,0,0,0.2,30,1,1728.52,1771.52,43.00,0.77,520,2302.59
71,24,10,4,0.0001,0,0,0.2,30,1,1817.29,1860.49,43.19,0.80,521,2924.59
72,8,3,1,5e-05,0.5,0,0.2,30,1,2447.54,2507.67,60.13,0.85,742,3661.90
73,10,3,1,5e-05,0.5,0,0.2,30,1,2408.58,2469.04,60.46,0.75,752,2764.49
74,16,3,1,5e-05,0.5,0,0.2,30,1,2505.86,2567.09,61.23,0.68,756,2677.43
