variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
63,0.0005,0.1,0.2,0.35,1138.70,1141.85,3.15,1.07,147,2241.66
64,0.00025,0.2,0.2,0.35,1656.02,1663.61,7.59,1.45,395,3362.45
65,0.0003,0.2,0.2,0.35,1505.83,1511.83,6.00,1.21,299,2888.86
66,0.0004,0.2,0.2,0.35,1258.67,1262.74,4.06,1.19,200,2226.92
67,0.0005,0.2,0.2,0.35,1073.40,1076.57,3.17,1.20,149,1897.64
68,0.00025,0.3,0.2,0.35,1747.36,1755.26,7.89,1.32,405,3328.66
69,0.0003,0.3,0.2,0.35,1499.40,1505.59,6.20,1.32,315,2909.97
70,0.0004,0.3,0.2,0.35,1372.00,1376.04,4.05,1.04,199,2206.99
71,0.0005,0.3,0.2,0.35,1110.56,1113.47,2.91,1.12,143,1783.36
72,0.00025,0.1,0.5,0.35,1577.81,1584.72,6.92,1.35,344,3283.36
73,0.0003,0.1,0.5,0.35,1574.64,1580.32,5.68,1.19,284,2777.91
74,0.0004,0.1,0.5,0.35,1395.32,1399.32,4.00,1.05,195,2536.68
75,0.0005,0.1,0.5,0.35,1204.13,1207.18,3.05,1.01,137,1886.32
76,0.00025,0.2,0.5,0.35,1594.49,1601.74,7.24,1.33,363,2994.43
77,0.0003,0.2,0.5,0.35,1515.23,1520.90,5.67,1.24,289,2875.93
78,0.0004,0.2,0.5,0.35,1291.61,1295.73,4.11,1.26,196,2553.00
79,0.0005,0.2,0.5,0.35,1110.86,1113.87,3.01,1.27,142,2057.75
80,0.00025,0.3,0.5,0.35,1581.08,1588.31,7.23,1.17,371,3112.73
81,0.0003,0.3,0.5,0.35,1477.57,1483.38,5.81,1.19,287,2567.38
82,0.0004,0.3,0.5,0.35,1396.39,1400.54,4.15,1.18,200,2371.76
83,0.0005,0.3,0.5,0.35,1065.50,1068.47,2.97,1.00,140,1649.44
84,0.00025,0.1,1,0.35,1569.13,1575.55,6.42,1.35,332,3385.60
85,0.0003,0.1,1,0.35,1561.65,1566.95,5.30,1.23,269,2877.72
86,0.0004,0.1,1,0.35,1248.54,1252.32,3.77,1.23,181,2372.53
87,0.0005,0.1,1,0.35,1155.17,1158.07,2.90,1.10,130,1959.51
88,0.00025,0.2,1,0.35,1709.28,1716.06,6.78,1.31,345,3318.00
89,0.0003,0.2,1,0.35,1392.98,1398.44,5.46,1.17,275,2676.95
90,0.0004,0.2,1,0.35,1292.54,1296.56,4.02,1.18,193,2158.71
91,0.0005,0.2,1,0.35,1119.12,1122.11,2.99,1.13,135,1628.33
92,0.00025,0.3,1,0.35,1725.96,1732.72,6.77,1.33,353,3361.95
93,0.0003,0.3,1,0.35,1519.16,1524.52,5.37,1.16,275,2788.47
94,0.0004,0.3,1,0.35,1376.09,1380.08,3.99,1.08,200,2281.89
95,0.0005,0.3,1,0.35,1114.66,1117.60,2.93,1.11,135,1842.53
96,0.00025,0.1,0,0.5,1575.53,1583.32,7.79,1.27,415,2849.70
97,0.0003,0.1,0,0.5,1310.54,1316.82,6.27,1.36,321,2708.00
98,0.0004,0.1,0,0.5,1226.12,1230.40,4.28,1.29,211,2206.19
99,0.0005,0.1,0,0.5,1011.49,1014.64,3.15,1.37,152,2322.32
100,0.00025,0.2,0,0.5,1561.52,1569.34,7.82,1.35,414,3011.35
101,0.0003,0.2,0,0.5,1310.53,1316.94,6.41,1.46,328,2641.45
102,0.0004,0.2,0,0.5,1174.77,1179.35,4.58,1.41,219,2257.06
103,0.0005,0.2,0,0.5,1068.37,1071.54,3.18,1.20,153,1932.89
104,0.00025,0.3,0,0.5,1591.21,1599.46,8.25,1.38,430,3046.40
105,0.0003,0.3,0,0.5,1437.13,1443.69,6.57,1.33,331,2536.68
106,0.0004,0.3,0,0.5,1177.82,1182.17,4.36,1.41,223,2416.51
107,0.0005,0.3,0,0.5,1180.84,1184.05,3.21,1.15,156,2028.65
108,0.00025,0.1,0.2,0.5,1420.04,1426.97,6.93,1.52,362,3019.59
109,0.0003,0.1,0.2,0.5,1284.72,1290.53,5.81,1.30,291,2378.78
110,0.0004,0.1,0.2,0.5,1252.00,1256.01,4.01,1.09,193,2155.21
111,0.0005,0.1,0.2,0.5,1007.01,1009.98,2.97,1.29,141,1990.01
112,0.00025,0.2,0.2,0.5,1492.02,1499.45,7.44,1.49,378,3001.87
113,0.0003,0.2,0.2,0.5,1316.65,1322.47,5.81,1.44,291,2742.72
114,0.0004,0.2,0.2,0.5,1183.17,1187.49,4.32,1.25,207,2026.30
115,0.0005,0.2,0.2,0.5,1093.94,1096.84,2.90,1.18,138,1968.88
116,0.00025,0.3,0.2,0.5,1475.81,1483.16,7.35,1.54,382,2949.48
117,0.0003,0.3,0.2,0.5,1325.42,1331.34,5.91,1.48,301,2652.45
118,0.0004,0.3,0.2,0.5,1134.13,1138.11,3.98,1.56,199,2244.17
119,0.0005,0.3,0.2,0.5,1028.16,1031.07,2.91,1.15,141,1883.48
120,0.00025,0.1,0.5,0.5,1400.73,1407.41,6.69,1.52,346,3091.15
121,0.0003,0.1,0.5,0.5,1314.98,1320.36,5.37,1.34,271,2577.47
122,0.0004,0.1,0.5,0.5,1048.04,1052.03,3.99,1.32,190,1808.58
123,0.0005,0.1,0.5,0.5,1013.67,1016.57,2.90,1.12,131,1810.81
124,0.00025,0.2,0.5,0.5,1498.37,1505.15,6.78,1.49,352,2752.26
125,0.0003,0.2,0.5,0.5,1500.12,1505.57,5.45,1.20,278,2854.47
126,0.0004,0.2,0.5,0.5,1205.05,1208.99,3.93,1.26,191,2150.61
127,0.0005,0.2,0.5,0.5,1083.59,1086.54,2.96,1.10,134,1686.17
128,0.00025,0.3,0.5,0.5,1497.34,1504.32,6.98,1.38,364,3043.26
