variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
63,0.0005,0.1,0.2,0.35,1349.26,1357.09,7.83,2.72,219,3731.79
64,0.00025,0.2,0.2,0.35,2218.02,2235.16,17.14,2.90,492,6279.74
65,0.0003,0.2,0.2,0.35,1973.93,1988.26,14.34,3.26,418,5705.24
66,0.0004,0.2,0.2,0.35,1481.98,1492.47,10.49,1.98,300,3775.77
67,0.0005,0.2,0.2,0.35,1367.97,1376.27,8.31,2.79,228,3506.60
68,0.00025,0.3,0.2,0.35,2322.76,2340.07,17.31,3.38,502,7177.02
69,0.0003,0.3,0.2,0.35,1786.15,1800.89,14.74,2.10,423,6119.78
70,0.0004,0.3,0.2,0.35,1734.22,1745.12,10.89,2.42,305,5539.63
71,0.0005,0.3,0.2,0.35,1406.87,1415.45,8.58,2.81,235,3982.59
72,0.00025,0.1,0.5,0.35,2228.35,2244.26,15.91,2.68,454,7461.10
73,0.0003,0.1,0.5,0.35,1847.12,1860.34,13.22,2.57,370,4628.32
74,0.0004,0.1,0.5,0.35,1482.36,1492.09,9.73,2.33,270,4311.50
75,0.0005,0.1,0.5,0.35,1333.61,1341.50,7.89,1.97,221,3127.50
76,0.00025,0.2,0.5,0.35,2216.54,2232.66,16.11,2.37,454,6823.05
77,0.0003,0.2,0.5,0.35,1904.62,1918.26,13.64,2.55,380,6271.62
78,0.0004,0.2,0.5,0.35,1591.88,1601.88,10.00,2.38,281,3770.45
79,0.0005,0.2,0.5,0.35,1409.49,1417.47,7.98,2.44,220,4283.95
80,0.00025,0.3,0.5,0.35,2223.93,2240.09,16.15,3.31,455,5968.52
81,0.0003,0.3,0.5,0.35,1868.64,1882.51,13.87,2.33,390,5493.22
82,0.0004,0.3,0.5,0.35,1621.04,1631.48,10.44,2.44,285,4241.45
83,0.0005,0.3,0.5,0.35,1397.26,1405.29,8.03,2.27,218,4581.72
84,0.00025,0.1,1,0.35,2017.90,2032.63,14.73,2.34,417,5966.92
85,0.0003,0.1,1,0.35,1865.39,1878.27,12.88,2.67,354,4625.71
86,0.0004,0.1,1,0.35,1500.36,1510.06,9.69,1.79,267,4154.76
87,0.0005,0.1,1,0.35,1326.33,1333.78,7.45,2.13,202,3983.52
88,0.00025,0.2,1,0.35,2131.98,2147.32,15.33,2.54,430,6088.97
89,0.0003,0.2,1,0.35,1752.60,1765.65,13.05,2.31,363,4149.50
90,0.0004,0.2,1,0.35,1601.10,1611.09,9.99,2.00,267,3862.88
91,0.0005,0.2,1,0.35,1543.81,1551.47,7.66,2.66,206,4759.85
92,0.00025,0.3,1,0.35,2200.81,2216.24,15.42,2.76,435,5616.48
93,0.0003,0.3,1,0.35,1881.46,1894.77,13.31,2.24,376,5762.37
94,0.0004,0.3,1,0.35,1508.54,1518.61,10.08,2.37,275,4680.21
95,0.0005,0.3,1,0.35,1435.23,1443.16,7.93,2.46,215,4044.42
96,0.00025,0.1,0,0.5,2091.00,2109.15,18.15,2.95,526,6481.43
97,0.0003,0.1,0,0.5,2010.18,2025.23,15.05,3.15,436,5773.66
98,0.0004,0.1,0,0.5,1686.20,1697.00,10.81,3.03,306,4788.48
99,0.0005,0.1,0,0.5,1237.92,1246.37,8.45,2.58,237,3321.91
100,0.00025,0.2,0,0.5,2359.83,2377.98,18.15,3.08,530,7290.88
101,0.0003,0.2,0,0.5,1838.75,1853.98,15.23,2.95,444,5594.63
102,0.0004,0.2,0,0.5,1677.15,1688.32,11.17,2.43,323,5575.37
103,0.0005,0.2,0,0.5,1449.59,1458.32,8.74,2.90,244,4357.61
104,0.00025,0.3,0,0.5,2302.49,2321.38,18.89,2.71,546,7609.22
105,0.0003,0.3,0,0.5,2268.46,2284.17,15.70,3.02,454,6885.52
106,0.0004,0.3,0,0.5,1764.32,1775.57,11.25,3.86,318,5207.84
107,0.0005,0.3,0,0.5,1430.90,1439.79,8.89,2.96,250,4354.82
108,0.00025,0.1,0.2,0.5,2190.59,2206.51,15.92,3.35,461,6937.44
109,0.0003,0.1,0.2,0.5,1967.17,1980.84,13.68,3.53,393,6515.05
110,0.0004,0.1,0.2,0.5,1594.64,1605.03,10.38,2.57,284,4980.03
111,0.0005,0.1,0.2,0.5,1366.48,1374.33,7.85,3.32,219,4470.53
112,0.00025,0.2,0.2,0.5,2251.35,2267.85,16.50,3.04,473,7086.19
113,0.0003,0.2,0.2,0.5,1964.13,1978.33,14.19,3.11,402,5790.97
114,0.0004,0.2,0.2,0.5,1574.16,1584.67,10.51,2.81,296,4328.26
115,0.0005,0.2,0.2,0.5,1427.86,1435.86,8.01,2.52,218,3717.93
116,0.00025,0.3,0.2,0.5,2498.95,2516.06,17.11,2.49,488,7774.81
117,0.0003,0.3,0.2,0.5,1995.85,2010.30,14.45,3.05,420,6341.91
118,0.0004,0.3,0.2,0.5,1755.65,1766.35,10.69,3.67,295,4943.52
119,0.0005,0.3,0.2,0.5,1484.60,1492.78,8.18,2.49,221,3781.64
120,0.00025,0.1,0.5,0.5,2029.50,2044.59,15.09,3.24,429,6680.42
121,0.0003,0.1,0.5,0.5,1745.55,1758.66,13.12,3.81,368,4736.04
122,0.0004,0.1,0.5,0.5,1599.44,1609.06,9.62,2.43,257,4495.86
123,0.0005,0.1,0.5,0.5,1314.24,1321.85,7.61,1.78,208,3618.40
124,0.00025,0.2,0.5,0.5,2135.38,2151.02,15.64,3.42,440,6744.65
125,0.0003,0.2,0.5,0.5,2038.97,2052.01,13.04,3.05,359,6314.55
126,0.0004,0.2,0.5,0.5,1618.47,1628.15,9.68,2.82,266,4512.92
127,0.0005,0.2,0.5,0.5,1437.70,1445.45,7.76,2.85,212,3897.82
128,0.00025,0.3,0.5,0.5,2263.89,2279.68,15.78,2.56,444,7268.37
129,0.0003,0.3,0.5,0.5,2093.46,2107.20,13.73,3.81,386,6497.11
130,0.0004,0.3,0.5,0.5,1665.13,1675.15,10.02,2.90,273,5038.70
131,0.0005,0.3,0.5,0.5,1460.46,1468.51,8.05,2.61,215,4537.08
132,0.00025,0.1,1,0.5,2118.70,2133.17,14.47,2.88,407,5874.05
133,0.0003,0.1,1,0.5,1773.55,1785.64,12.08,2.96,336,5570.74
134,0.0004,0.1,1,0.5,1610.13,1619.11,8.99,2.86,250,4536.78
135,0.0005,0.1,1,0.5,1290.48,1297.81,7.33,2.18,198,4542.26
136,0.00025,0.2,1,0.5,2143.70,2158.32,14.63,2.79,417,6369.33
137,0.0003,0.2,1,0.5,1884.40,1896.65,12.26,2.88,346,5867.03
138,0.0004,0.2,1,0.5,1632.44,1642.21,9.78,2.30,261,5229.31
139,0.0005,0.2,1,0.5,1358.92,1366.23,7.31,1.99,197,3562.90
140,0.00025,0.3,1,0.5,2077.65,2092.46,14.80,2.87,418,6317.11
141,0.0003,0.3,1,0.5,1799.86,1812.73,12.87,2.28,364,5514.85
142,0.0004,0.3,1,0.5,1601.00,1610.89,9.89,2.18,268,5045.62
143,0.0005,0.3,1,0.5,1322.39,1330.23,7.84,2.26,209,4183.36
144,0.00025,0.1,0,1,2076.22,2092.90,16.68,2.80,482,6196.41
145,0.0003,0.1,0,1,1808.10,1822.37,14.28,3.04,417,5158.96
146,0.0004,0.1,0,1,1492.00,1502.61,10.61,2.94,297,4598.34
147,0.0005,0.1,0,1,1237.75,1245.81,8.06,2.97,220,2851.63
148,0.00025,0.2,0,1,2090.82,2108.09,17.28,3.28,505,5851.10
149,0.0003,0.2,0,1,1948.80,1962.97,14.17,3.29,403,4988.63
150,0.0004,0.2,0,1,1706.35,1716.92,10.57,3.25,301,5385.50
151,0.0005,0.2,0,1,1394.33,1402.67,8.35,2.40,227,3496.51
152,0.00025,0.3,0,1,2209.37,2226.77,17.39,2.90,507,6406.62
153,0.0003,0.3,0,1,2076.84,2091.63,14.80,3.16,427,6229.92
154,0.0004,0.3,0,1,1696.17,1707.20,11.04,2.64,306,5334.35
155,0.0005,0.3,0,1,1478.46,1486.96,8.50,3.01,233,3973.99
156,0.00025,0.1,0.2,1,2084.73,2099.84,15.12,3.18,436,6140.75
157,0.0003,0.1,0.2,1,1728.21,1741.10,12.89,3.32,366,5336.06
158,0.0004,0.1,0.2,1,1553.86,1563.40,9.55,3.66,265,5030.90
159,0.0005,0.1,0.2,1,1179.67,1187.05,7.38,4.24,204,3219.37
160,0.00025,0.2,0.2,1,2030.61,2046.16,15.55,2.93,448,6135.35
161,0.0003,0.2,0.2,1,1956.10,1969.35,13.25,2.69,376,4857.35
162,0.0004,0.2,0.2,1,1586.36,1595.90,9.54,3.89,263,4877.05
163,0.0005,0.2,0.2,1,1289.98,1297.36,7.38,2.40,204,3149.10
