variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
368      0.00025       400      7                0.003         0.4                      0.1            0.5               0                   0                  0.5                   3179.27  3209.30         30.04     2.19    802       7424.65
99       0.0003        400      7                0.003         0.4                      0.1            0.2               0                   0                  0.35                  2859.53  2886.97         27.44     2.23    724       7451.35
45       0.0003        400      7                0.003         0.4                      0.1            0                 0                   0                  0.35                  3001.00  3028.22         27.22     2.21    713       7452.67
225      0.0003        400      7                0.003         0.1                      0.1            0                 0                   0                  0.5                   3242.12  3267.02         24.90     2.29    675       7464.30
245      0.0003        400      10               0.003         0.2                      0.1            0                 0                   0                  0.5                   3207.21  3232.46         25.25     2.24    673       7469.01
348      0.00025       400      4                0.003         0.2                      0.1            0.5               0                   0                  0.5                   2801.47  2830.31         28.84     2.31    798       7479.90
337      0.0003        400      4                0.0045        0.1                      0.1            0.5               0                   0                  0.5                   2942.43  2965.81         23.37     2.48    666       7521.23
240      0.00025       400      4                0.003         0.2                      0.1            0                 0                   0                  0.5                   2899.28  2928.40         29.12     2.63    799       7524.70
294      0.00025       400      4                0.003         0.2                      0.1            0.2               0                   0                  0.5                   2892.28  2921.03         28.76     2.39    796       7538.07
204      0.00025       400      4                0.003         0.4                      0.1            0.8               0                   0                  0.35                  2720.59  2751.67         31.08     2.81    837       7548.40
6        0.00025       400      4                0.003         0.1                      0.1            0                 0                   0                  0.35                  2740.78  2770.40         29.62     2.77    832       7555.65
120      0.00025       400      4                0.0045        0.1                      0.1            0.5               0                   0                  0.35                  3052.03  3080.33         28.30     3.37    823       7581.03
351      0.0003        400      7                0.003         0.2                      0.1            0.5               0                   0                  0.5                   3207.19  3232.49         25.30     1.99    676       7582.85
135      0.0003        400      7                0.003         0.2                      0.1            0.5               0                   0                  0.35                  3146.94  3173.56         26.63     2.62    710       7597.01
189      0.0003        400      7                0.003         0.2                      0.1            0.8               0                   0                  0.35                  3172.86  3199.02         26.17     2.72    701       7609.39
391      0.0003        400      4                0.0045        0.1                      0.1            0.8               0                   0                  0.5                   2903.23  2926.61         23.39     2.85    665       7612.83
299      0.0003        400      10               0.003         0.2                      0.1            0.2               0                   0                  0.5                   3204.01  3229.54         25.53     2.12    682       7616.03
422      0.00025       400      7                0.003         0.4                      0.1            0.8               0                   0                  0.5                   3180.34  3210.45         30.11     2.20    799       7658.91
27       0.0003        400      7                0.003         0.2                      0.1            0                 0                   0                  0.35                  2984.30  3010.74         26.44     2.75    704       7664.31
283      0.0003        400      4                0.0045        0.1                      0.1            0.2               0                   0                  0.5                   2857.48  2880.93         23.45     3.21    674       7727.33
314      0.00025       400      7                0.003         0.4                      0.1            0.2               0                   0                  0.5                   3107.99  3138.21         30.22     1.93    809       7738.96
262      0.00025       400      10               0.003         0.4                      0.1            0                 0                   0                  0.5                   3337.46  3367.39         29.94     2.16    792       7741.36
150      0.00025       400      4                0.003         0.4                      0.1            0.5               0                   0                  0.35                  2784.30  2815.33         31.03     2.86    838       7748.16
60       0.00025       400      4                0.003         0.1                      0.1            0.2               0                   0                  0.35                  2716.49  2746.07         29.57     3.32    828       7765.44
168      0.00025       400      4                0.003         0.1                      0.1            0.8               0                   0                  0.35                  2798.56  2828.51         29.95     3.22    838       7771.34
191      0.0003        400      10               0.003         0.2                      0.1            0.8               0                   0                  0.35                  3032.43  3059.02         26.60     2.98    709       7776.96
117      0.0003        400      7                0.003         0.1                      0.1            0.5               0                   0                  0.35                  3002.69  3028.85         26.17     3.32    707       7843.15
227      0.0003        400      10               0.003         0.1                      0.1            0                 0                   0                  0.5                   3216.83  3241.79         24.96     2.03    682       7852.02
373      0.0003        400      4                0.0045        0.4                      0.1            0.5               0                   0                  0.5                   2931.05  2954.63         23.57     2.39    679       7893.03
307      0.0003        400      4                0.0015        0.4                      0.1            0.2               0                   0                  0.5                   3465.56  3526.27         60.70     1.35    1024      7908.51
132      0.00025       400      4                0.003         0.2                      0.1            0.5               0                   0                  0.35                  2795.04  2824.89         29.84     2.90    832       7910.28
319      0.0003        400      4                0.0045        0.4                      0.1            0.2               0                   0                  0.5                   2797.39  2820.73         23.34     2.64    668       7916.84
84       0.00025       400      4                0.0045        0.2                      0.1            0.2               0                   0                  0.35                  2995.12  3023.10         27.98     3.33    819       7936.29
260      0.00025       400      7                0.003         0.4                      0.1            0                 0                   0                  0.5                   3219.80  3249.95         30.15     1.98    798       7937.26
29       0.0003        400      10               0.003         0.2                      0.1            0                 0                   0                  0.35                  3193.62  3220.34         26.72     2.61    712       7943.73
