variant  place_thresh  cancel_buffer  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
15       0.0003        0.1            80       4                0.003         0.4                      0                 0                   0                  0.25                  391.11   399.44          8.32      1.23    487       797.52
35       0.0003        0.1            80       4                0.0045        0.4                      0.2               0                   0                  0.25                  416.49   424.26          7.78      1.18    475       797.58
10       0.00025       0.1            80       4                0.0045        0.2                      0                 0                   0                  0.25                  457.68   466.39          8.71      0.93    538       798.59
89       0.0003        0.1            80       4                0.0045        0.4                      0                 0                   0                  0.5                   406.23   413.69          7.46      0.95    456       800.08
76       0.00025       0.1            80       4                0.0045        0.1                      0                 0                   0                  0.5                   447.56   456.11          8.55      0.91    536       801.49
122      0.00025       0.1            80       4                0.003         0.4                      0.5               0                   0                  0.5                   416.79   425.98          9.20      1.02    545       804.77
32       0.00025       0.1            80       4                0.003         0.4                      0.2               0                   0                  0.25                  437.24   446.47          9.23      0.83    553       806.86
137      0.0003        0.1            80       4                0.0045        0.2                      0.8               0                   0                  0.5                   371.60   379.07          7.47      1.06    463       807.50
123      0.0003        0.1            80       4                0.003         0.4                      0.5               0                   0                  0.5                   443.09   451.10          8.01      1.15    476       808.07
46       0.00025       0.1            80       4                0.0045        0.2                      0.5               0                   0                  0.25                  406.10   414.83          8.73      0.85    539       813.61
74       0.00025       0.1            80       4                0.003         0.1                      0                 0                   0                  0.5                   499.22   508.08          8.86      0.94    543       816.31
65       0.0003        0.1            80       4                0.0045        0.2                      0.8               0                   0                  0.25                  410.18   417.86          7.68      1.13    475       816.42
130      0.00025       0.1            80       4                0.0045        0.1                      0.8               0                   0                  0.5                   449.26   457.82          8.57      0.97    533       817.58
81       0.0003        0.1            80       4                0.003         0.2                      0                 0                   0                  0.5                   403.20   411.14          7.94      1.29    472       820.72
99       0.0003        0.1            80       4                0.003         0.2                      0.2               0                   0                  0.5                   454.23   462.10          7.87      1.18    469       822.62
57       0.0003        0.1            80       4                0.003         0.1                      0.8               0                   0                  0.25                  367.96   376.02          8.05      0.86    484       823.64
40       0.00025       0.1            80       4                0.0045        0.1                      0.5               0                   0                  0.25                  417.47   426.20          8.72      1.00    541       824.80
71       0.0003        0.1            80       4                0.0045        0.4                      0.8               0                   0                  0.25                  377.35   385.19          7.84      1.02    475       829.51
143      0.0003        0.1            80       4                0.0045        0.4                      0.8               0                   0                  0.5                   392.06   399.69          7.63      1.10    464       834.47
101      0.0003        0.1            80       4                0.0045        0.2                      0.2               0                   0                  0.5                   408.84   416.41          7.56      0.99    464       843.24
112      0.00025       0.1            80       4                0.0045        0.1                      0.5               0                   0                  0.5                   492.64   501.17          8.53      1.02    534       845.55
86       0.00025       0.1            80       4                0.003         0.4                      0                 0                   0                  0.5                   468.32   477.43          9.11      1.05    543       855.97
117      0.0003        0.1            80       4                0.003         0.2                      0.5               0                   0                  0.5                   446.65   454.57          7.92      1.20    467       862.20
9        0.0003        0.1            80       4                0.003         0.2                      0                 0                   0                  0.25                  416.24   423.46          7.22      1.21    424       865.83
131      0.0003        0.1            80       4                0.0045        0.1                      0.8               0                   0                  0.5                   401.08   408.57          7.49      1.06    460       874.51
142      0.00025       0.1            80       4                0.0045        0.4                      0.8               0                   0                  0.5                   450.77   459.35          8.58      1.04    531       875.95
129      0.0003        0.1            80       4                0.003         0.1                      0.8               0                   0                  0.5                   425.94   433.84          7.90      1.16    466       887.58
87       0.0003        0.1            80       4                0.003         0.4                      0                 0                   0                  0.5                   433.64   441.72          8.08      1.46    474       897.44
107      0.0003        0.1            80       4                0.0045        0.4                      0.2               0                   0                  0.5                   409.59   417.13          7.54      1.27    463       898.32
11       0.0003        0.1            80       4                0.0045        0.2                      0                 0                   0                  0.25                  456.60   464.32          7.73      1.08    479       900.47
45       0.0003        0.1            80       4                0.003         0.2                      0.5               0                   0                  0.25                  441.51   449.69          8.19      1.20    481       903.26
141      0.0003        0.1            80       4                0.003         0.4                      0.8               0                   0                  0.5                   434.43   442.41          7.98      1.28    471       917.01
128      0.00025       0.1            80       4                0.003         0.1                      0.8               0                   0                  0.5                   457.53   466.52          8.99      1.04    541       922.99
14       0.00025       0.1            80       4                0.003         0.4                      0                 0                   0                  0.25                  461.75   471.09          9.35      1.02    555       924.39
27       0.0003        0.1            80       4                0.003         0.2                      0.2               0                   0                  0.25                  451.96   460.12          8.16      1.49    478       927.45
98       0.00025       0.1            80       4                0.003         0.2                      0.2               0                   0                  0.5                   440.59   449.56          8.97      0.95    545       928.39
118      0.00025       0.1            80       4                0.0045        0.2                      0.5               0                   0                  0.5                   457.94   466.43          8.49      0.91    534       933.38
17       0.0003        0.1            80       4                0.0045        0.4                      0                 0                   0                  0.25                  429.69   437.46          7.77      0.99    477       937.59
104      0.00025       0.1            80       4                0.003         0.4                      0.2               0                   0                  0.5                   477.71   486.78          9.07      1.19    537       938.47
116      0.00025       0.1            80       4                0.003         0.2                      0.5               0                   0                  0.5                   502.16   511.14          8.98      1.05    543       948.23
111      0.0003        0.1            80       4                0.003         0.1                      0.5               0                   0                  0.5                   426.99   434.76          7.77      1.15    467       956.36
135      0.0003        0.1            80       4                0.003         0.2                      0.8               0                   0                  0.5                   443.35   451.36          8.01      1.24    469       966.17
119      0.0003        0.1            80       4                0.0045        0.2                      0.5               0                   0                  0.5                   410.11   417.55          7.44      1.08    458       969.78
69       0.0003        0.1            80       4                0.003         0.4                      0.8               0                   0                  0.25                  458.72   467.09          8.36      1.15    489       991.35
77       0.0003        0.1            80       4                0.0045        0.1                      0                 0                   0                  0.5                   470.88   478.32          7.44      1.24    459       1011.06
3        0.0003        0.1            80       4                0.003         0.1                      0                 0                   0                  0.25                  417.23   425.33          8.10      1.07    479       1014.58
19       0.0003        0.1            80       4                0.0015        0.1                      0.2               0                   0                  0.25                  772.94   791.54          18.60     1.64    696       1473.90
6        0.00025       0.1            80       4                0.0015        0.2                      0                 0                   0                  0.25                  770.55   791.40          20.85     1.62    786       1496.19
55       0.0003        0.1            80       4                0.0015        0.1                      0.8               0                   0                  0.25                  823.88   843.17          19.28     1.86    706       1509.50
24       0.00025       0.1            80       4                0.0015        0.2                      0.2               0                   0                  0.25                  825.10   846.14          21.04     1.56    785       1560.84
36       0.00025       0.1            80       4                0.0015        0.1                      0.5               0                   0                  0.25                  789.76   809.25          19.48     1.72    759       1569.30
