variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
284      0.00025       400      7                0.0045        0.1                      0.1            0.2               0                  0.4                   1412.82  1423.97         11.15     2.17    581       3117.72
393      0.0003        400      7                0.0045        0.1                      0.1            0.8               0                  0.4                   1243.47  1252.69         9.22      2.60    472       3120.28
53       0.0003        400      10               0.0045        0.4                      0.1            0                 0                  0.25                  1343.89  1353.83         9.94      2.77    499       3140.07
31       0.0003        400      4                0.0045        0.2                      0.1            0                 0                  0.25                  1231.26  1240.78         9.52      2.66    485       3140.45
229      0.0003        400      4                0.0045        0.1                      0.1            0                 0                  0.4                   1349.23  1358.29         9.06      3.70    470       3140.70
114      0.00025       400      4                0.003         0.1                      0.1            0.5               0                  0.25                  1341.04  1353.16         12.12     2.45    604       3146.49
338      0.00025       400      7                0.0045        0.1                      0.1            0.5               0                  0.4                   1435.47  1446.82         11.35     2.26    580       3147.29
336      0.00025       400      4                0.0045        0.1                      0.1            0.5               0                  0.4                   1334.76  1345.72         10.96     2.49    571       3156.54
339      0.0003        400      7                0.0045        0.1                      0.1            0.5               0                  0.4                   1266.48  1275.78         9.30      2.24    474       3159.16
151      0.0003        400      4                0.003         0.4                      0.1            0.5               0                  0.25                  1332.95  1343.62         10.67     2.38    500       3161.97
408      0.00025       400      4                0.0045        0.2                      0.1            0.8               0                  0.4                   1289.78  1301.09         11.30     2.15    581       3168.64
138      0.00025       400      4                0.0045        0.2                      0.1            0.5               0                  0.25                  1333.97  1345.70         11.73     2.07    602       3173.30
102      0.00025       400      4                0.0045        0.4                      0.1            0.2               0                  0.25                  1376.22  1388.21         11.99     2.43    599       3174.87
410      0.00025       400      7                0.0045        0.2                      0.1            0.8               0                  0.4                   1333.34  1344.77         11.43     2.40    580       3176.39
337      0.0003        400      4                0.0045        0.1                      0.1            0.5               0                  0.4                   1298.94  1307.89         8.95      4.26    470       3186.03
428      0.00025       400      7                0.0045        0.4                      0.1            0.8               0                  0.4                   1285.13  1296.61         11.48     2.08    580       3193.88
390      0.00025       400      4                0.0045        0.1                      0.1            0.8               0                  0.4                   1311.92  1323.11         11.19     2.69    576       3207.30
96       0.00025       400      4                0.003         0.4                      0.1            0.2               0                  0.25                  1284.18  1296.95         12.77     2.03    607       3207.52
265      0.0003        400      4                0.0045        0.4                      0.1            0                 0                  0.4                   1273.35  1282.65         9.30      3.27    466       3209.73
17       0.0003        400      10               0.0045        0.1                      0.1            0                 0                  0.25                  1319.64  1329.54         9.90      2.46    502       3220.26
87       0.0003        400      7                0.0045        0.2                      0.1            0.2               0                  0.25                  1299.10  1309.04         9.94      2.23    497       3226.18
411      0.0003        400      7                0.0045        0.2                      0.1            0.8               0                  0.4                   1234.13  1243.71         9.58      2.32    479       3230.95
81       0.0003        400      7                0.003         0.2                      0.1            0.2               0                  0.25                  1336.26  1346.70         10.43     2.13    503       3234.17
30       0.00025       400      4                0.0045        0.2                      0.1            0                 0                  0.25                  1210.78  1222.58         11.80     1.74    604       3238.08
228      0.00025       400      4                0.0045        0.1                      0.1            0                 0                  0.4                   1337.61  1348.69         11.08     2.45    581       3240.84
384      0.00025       400      4                0.003         0.1                      0.1            0.8               0                  0.4                   1326.75  1338.42         11.67     2.31    580       3244.15
71       0.0003        400      10               0.0045        0.1                      0.1            0.2               0                  0.25                  1298.15  1308.12         9.97      2.36    505       3251.31
61       0.0003        400      4                0.003         0.1                      0.1            0.2               0                  0.25                  1245.43  1255.39         9.96      3.31    489       3251.89
105      0.0003        400      7                0.0045        0.4                      0.1            0.2               0                  0.25                  1255.73  1265.76         10.03     2.30    501       3255.03
247      0.0003        400      4                0.0045        0.2                      0.1            0                 0                  0.4                   1317.06  1326.31         9.24      3.48    474       3261.84
79       0.0003        400      4                0.003         0.2                      0.1            0.2               0                  0.25                  1207.30  1217.57         10.27     2.96    491       3262.61
177      0.0003        400      7                0.0045        0.1                      0.1            0.8               0                  0.25                  1326.95  1336.65         9.70      2.17    499       3265.17
375      0.0003        400      7                0.0045        0.4                      0.1            0.5               0                  0.4                   1268.34  1277.72         9.38      2.38    462       3273.91
63       0.0003        400      7                0.003         0.1                      0.1            0.2               0                  0.25                  1316.19  1326.56         10.38     2.60    502       3282.26
204      0.00025       400      4                0.003         0.4                      0.1            0.8               0                  0.25                  1374.63  1387.29         12.65     1.96    605       3282.95
357      0.0003        400      7                0.0045        0.2                      0.1            0.5               0                  0.4                   1321.51  1330.97         9.46      2.46    472       3284.16
213      0.0003        400      7                0.0045        0.4                      0.1            0.8               0                  0.25                  1328.00  1338.06         10.06     2.60    501       3284.85
168      0.00025       400      4                0.003         0.1                      0.1            0.8               0                  0.25                  1419.25  1431.49         12.25     2.12    611       3289.31
223      0.0003        400      4                0.003         0.1                      0.1            0                 0                  0.4                   1290.32  1299.85         9.54      3.87    468       3290.39
330      0.00025       400      4                0.003         0.1                      0.1            0.5               0                  0.4                   1320.05  1331.66         11.61     2.72    580       3301.08
209      0.0003        400      10               0.003         0.4                      0.1            0.8               0                  0.25                  1427.68  1438.75         11.08     2.48    517       3304.03
305      0.0003        400      10               0.0045        0.2                      0.1            0.2               0                  0.4                   1320.02  1329.59         9.57      2.64    478       3307.20
207      0.0003        400      7                0.003         0.4                      0.1            0.8               0                  0.25                  1311.58  1322.60         11.02     2.28    502       3308.41
186      0.00025       400      4                0.003         0.2                      0.1            0.8               0                  0.25                  1332.23  1344.61         12.38     2.01    614       3312.18
407      0.0003        400      10               0.003         0.2                      0.1            0.8               0                  0.4                   1350.12  1360.14         10.01     2.76    478       3321.75
413      0.0003        400      10               0.0045        0.2                      0.1            0.8               0                  0.4                   1324.97  1334.36         9.39      3.00    474       3325.94
318      0.00025       400      4                0.0045        0.4                      0.1            0.2               0                  0.4                   1358.23  1369.59         11.36     2.34    573       3326.43
51       0.0003        400      7                0.0045        0.4                      0.1            0                 0                  0.25                  1296.89  1306.98         10.08     2.56    499       3334.95
27       0.0003        400      7                0.003         0.2                      0.1            0                 0                  0.25                  1271.32  1281.69         10.37     2.60    497       3335.33
