variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
218,0.00025,0.1,80,4,0.2,0.0015,0.1,0.2,0,0,0.25,748.99,765.24,16.25,1.83,662,1746.25
219,0.0003,0.1,80,4,0.2,0.0015,0.1,0.2,0,0,0.25,793.52,809.11,15.59,1.98,621,2055.39
220,0.000175,0.1,80,8,0.2,0.0015,0.1,0.2,0,0,0.25,780.60,798.05,17.45,2.11,756,2023.63
221,0.000225,0.1,80,8,0.2,0.0015,0.1,0.2,0,0,0.25,842.30,858.91,16.61,1.83,689,1922.57
222,0.00025,0.1,80,8,0.2,0.0015,0.1,0.2,0,0,0.25,776.64,792.82,16.18,1.88,664,1845.70
223,0.0003,0.1,80,8,0.2,0.0015,0.1,0.2,0,0,0.25,762.41,777.37,14.97,1.89,606,1731.29
224,0.000175,0.1,80,4,0.5,0.0015,0.1,0.2,0,0,0.25,803.16,821.14,17.98,2.02,788,2052.13
225,0.000225,0.1,80,4,0.5,0.0015,0.1,0.2,0,0,0.25,764.22,780.84,16.62,1.83,707,1831.12
226,0.00025,0.1,80,4,0.5,0.0015,0.1,0.2,0,0,0.25,748.60,764.94,16.34,1.94,686,1836.53
227,0.0003,0.1,80,4,0.5,0.0015,0.1,0.2,0,0,0.25,765.74,781.77,16.03,1.61,652,1685.85
228,0.000175,0.1,80,8,0.5,0.0015,0.1,0.2,0,0,0.25,779.61,797.11,17.50,2.36,778,2127.53
229,0.000225,0.1,80,8,0.5,0.0015,0.1,0.2,0,0,0.25,765.36,782.01,16.65,1.87,711,1744.12
230,0.00025,0.1,80,8,0.5,0.0015,0.1,0.2,0,0,0.25,794.86,811.15,16.30,1.83,685,2079.84
231,0.0003,0.1,80,8,0.5,0.0015,0.1,0.2,0,0,0.25,794.37,810.26,15.89,1.83,650,1926.22
232,0.000175,0.1,80,4,0.7,0.0015,0.1,0.2,0,0,0.25,810.46,828.68,18.23,1.98,791,1932.52
233,0.000225,0.1,80,4,0.7,0.0015,0.1,0.2,0,0,0.25,810.41,827.48,17.07,1.86,734,1955.64
234,0.00025,0.1,80,4,0.7,0.0015,0.1,0.2,0,0,0.25,791.47,808.10,16.63,1.77,707,1891.54
235,0.0003,0.1,80,4,0.7,0.0015,0.1,0.2,0,0,0.25,767.72,784.10,16.39,1.75,668,1938.89
236,0.000175,0.1,80,8,0.7,0.0015,0.1,0.2,0,0,0.25,820.88,838.74,17.87,2.28,780,2166.43
237,0.000225,0.1,80,8,0.7,0.0015,0.1,0.2,0,0,0.25,798.78,815.54,16.76,2.08,729,1886.74
238,0.00025,0.1,80,8,0.7,0.0015,0.1,0.2,0,0,0.25,728.66,745.24,16.58,1.93,709,1732.69
239,0.0003,0.1,80,8,0.7,0.0015,0.1,0.2,0,0,0.25,793.52,809.18,15.66,1.67,661,1956.98
240,0.000175,0.1,80,4,0.2,0.003,0.1,0.2,0,0,0.25,527.44,537.35,9.91,1.29,605,1153.33
241,0.000225,0.1,80,4,0.2,0.003,0.1,0.2,0,0,0.25,502.35,511.18,8.83,1.12,532,1034.76
242,0.00025,0.1,80,4,0.2,0.003,0.1,0.2,0,0,0.25,506.58,514.83,8.25,1.08,500,862.09
243,0.0003,0.1,80,4,0.2,0.003,0.1,0.2,0,0,0.25,454.17,461.67,7.50,1.20,459,869.60
244,0.000175,0.1,80,8,0.2,0.003,0.1,0.2,0,0,0.25,569.38,579.33,9.95,1.28,601,1111.42
245,0.000225,0.1,80,8,0.2,0.003,0.1,0.2,0,0,0.25,557.13,566.10,8.97,1.39,538,1048.94
246,0.00025,0.1,80,8,0.2,0.003,0.1,0.2,0,0,0.25,523.03,531.44,8.41,1.19,512,970.69
247,0.0003,0.1,80,8,0.2,0.003,0.1,0.2,0,0,0.25,460.83,468.17,7.35,1.38,450,991.35
248,0.000175,0.1,80,4,0.5,0.003,0.1,0.2,0,0,0.25,505.77,516.19,10.42,1.26,636,1020.15
249,0.000225,0.1,80,4,0.5,0.003,0.1,0.2,0,0,0.25,526.27,535.33,9.06,1.19,552,937.34
250,0.00025,0.1,80,4,0.5,0.003,0.1,0.2,0,0,0.25,499.55,508.20,8.64,1.23,530,945.52
251,0.0003,0.1,80,4,0.5,0.003,0.1,0.2,0,0,0.25,490.84,498.82,7.98,1.22,492,876.93
252,0.000175,0.1,80,8,0.5,0.003,0.1,0.2,0,0,0.25,545.58,555.85,10.27,1.39,627,1123.15
253,0.000225,0.1,80,8,0.5,0.003,0.1,0.2,0,0,0.25,497.51,506.72,9.21,1.12,557,825.52
254,0.00025,0.1,80,8,0.5,0.003,0.1,0.2,0,0,0.25,513.60,522.33,8.73,1.38,535,1022.28
255,0.0003,0.1,80,8,0.5,0.003,0.1,0.2,0,0,0.25,489.90,497.86,7.97,1.28,487,979.46
256,0.000175,0.1,80,4,0.7,0.003,0.1,0.2,0,0,0.25,505.06,515.70,10.63,1.40,652,1120.62
257,0.000225,0.1,80,4,0.7,0.003,0.1,0.2,0,0,0.25,532.25,541.67,9.42,1.33,578,984.12
258,0.00025,0.1,80,4,0.7,0.003,0.1,0.2,0,0,0.25,524.36,533.46,9.10,1.42,559,1008.63
259,0.0003,0.1,80,4,0.7,0.003,0.1,0.2,0,0,0.25,507.64,515.93,8.29,1.34,509,980.80
260,0.000175,0.1,80,8,0.7,0.003,0.1,0.2,0,0,0.25,555.82,566.21,10.38,1.52,636,1122.15
261,0.000225,0.1,80,8,0.7,0.003,0.1,0.2,0,0,0.25,574.52,584.11,9.59,1.41,576,1119.77
262,0.00025,0.1,80,8,0.7,0.003,0.1,0.2,0,0,0.25,490.32,499.38,9.07,1.10,562,834.44
263,0.0003,0.1,80,8,0.7,0.003,0.1,0.2,0,0,0.25,522.13,530.38,8.26,1.26,507,999.55
264,0.000175,0.1,80,4,0.2,0.0045,0.1,0.2,0,0,0.25,516.63,526.08,9.45,1.27,594,1125.93
265,0.000225,0.1,80,4,0.2,0.0045,0.1,0.2,0,0,0.25,438.66,447.16,8.49,1.02,528,705.66
266,0.00025,0.1,80,4,0.2,0.0045,0.1,0.2,0,0,0.25,471.74,479.73,7.99,1.03,504,975.35
267,0.0003,0.1,80,4,0.2,0.0045,0.1,0.2,0,0,0.25,505.78,513.03,7.25,1.53,461,1076.38
268,0.000175,0.1,80,8,0.2,0.0045,0.1,0.2,0,0,0.25,522.05,531.64,9.59,1.29,601,973.60
269,0.000225,0.1,80,8,0.2,0.0045,0.1,0.2,0,0,0.25,510.81,519.41,8.59,1.25,535,918.40
270,0.00025,0.1,80,8,0.2,0.0045,0.1,0.2,0,0,0.25,518.54,526.59,8.05,1.18,504,892.56
271,0.0003,0.1,80,8,0.2,0.0045,0.1,0.2,0,0,0.25,498.30,505.34,7.04,1.35,447,1000.06
272,0.000175,0.1,80,4,0.5,0.0045,0.1,0.2,0,0,0.25,527.49,537.56,10.07,1.22,633,1088.31
273,0.000225,0.1,80,4,0.5,0.0045,0.1,0.2,0,0,0.25,536.60,545.37,8.77,1.23,550,952.43
274,0.00025,0.1,80,4,0.5,0.0045,0.1,0.2,0,0,0.25,440.36,448.74,8.38,1.27,527,944.63
275,0.0003,0.1,80,4,0.5,0.0045,0.1,0.2,0,0,0.25,474.87,482.59,7.72,1.28,484,926.70
276,0.000175,0.1,80,8,0.5,0.0045,0.1,0.2,0,0,0.25,558.84,568.84,10.01,1.58,631,1121.21
277,0.000225,0.1,80,8,0.5,0.0045,0.1,0.2,0,0,0.25,542.71,551.42,8.71,1.39,555,1059.79
278,0.00025,0.1,80,8,0.5,0.0045,0.1,0.2,0,0,0.25,472.69,481.18,8.48,1.15,526,790.59
279,0.0003,0.1,80,8,0.5,0.0045,0.1,0.2,0,0,0.25,489.66,497.32,7.66,1.47,478,1143.48
280,0.000175,0.1,80,4,0.7,0.0045,0.1,0.2,0,0,0.25,515.26,525.51,10.24,1.28,641,1050.27
281,0.000225,0.1,80,4,0.7,0.0045,0.1,0.2,0,0,0.25,516.34,525.50,9.16,1.19,574,924.02
282,0.00025,0.1,80,4,0.7,0.0045,0.1,0.2,0,0,0.25,473.60,482.25,8.65,1.13,548,907.46
283,0.0003,0.1,80,4,0.7,0.0045,0.1,0.2,0,0,0.25,479.03,487.18,8.15,1.25,510,903.13
284,0.000175,0.1,80,8,0.7,0.0045,0.1,0.2,0,0,0.25,510.85,521.03,10.18,1.34,641,1075.75
285,0.000225,0.1,80,8,0.7,0.0045,0.1,0.2,0,0,0.25,550.68,559.87,9.18,1.34,577,1098.55
286,0.00025,0.1,80,8,0.7,0.0045,0.1,0.2,0,0,0.25,551.35,560.00,8.65,1.37,543,1048.51
287,0.0003,0.1,80,8,0.7,0.0045,0.1,0.2,0,0,0.25,507.81,515.59,7.78,1.20,500,918.45
288,0.000175,0.1,80,4,0.2,0.0015,0.2,0.2,0,0,0.25,786.73,805.39,18.66,1.92,774,2003.85
289,0.000225,0.1,80,4,0.2,0.0015,0.2,0.2,0,0,0.25,804.65,821.95,17.31,1.83,701,1763.50
290,0.00025,0.1,80,4,0.2,0.0015,0.2,0.2,0,0,0.25,791.05,808.29,17.24,1.69,685,1776.34
291,0.0003,0.1,80,4,0.2,0.0015,0.2,0.2,0,0,0.25,776.66,793.11,16.46,2.02,634,2046.97
292,0.000175,0.1,80,8,0.2,0.0015,0.2,0.2,0,0,0.25,811.93,830.62,18.70,1.85,767,1874.29
293,0.000225,0.1,80,8,0.2,0.0015,0.2,0.2,0,0,0.25,799.45,816.94,17.48,2.14,706,1928.19
294,0.00025,0.1,80,8,0.2,0.0015,0.2,0.2,0,0,0.25,823.96,841.20,17.24,1.86,684,1882.39
295,0.0003,0.1,80,8,0.2,0.0015,0.2,0.2,0,0,0.25,799.36,815.45,16.09,1.97,626,1915.80
296,0.000175,0.1,80,4,0.5,0.0015,0.2,0.2,0,0,0.25,781.77,800.88,19.11,2.13,807,1878.46
297,0.000225,0.1,80,4,0.5,0.0015,0.2,0.2,0,0,0.25,775.00,792.77,17.77,1.86,730,1862.60
298,0.00025,0.1,80,4,0.5,0.0015,0.2,0.2,0,0,0.25,778.90,796.48,17.57,1.76,708,1779.04
299,0.0003,0.1,80,4,0.5,0.0015,0.2,0.2,0,0,0.25,793.11,809.92,16.81,1.66,661,1815.94
300,0.000175,0.1,80,8,0.5,0.0015,0.2,0.2,0,0,0.25,854.75,873.96,19.21,2.06,802,2045.93
301,0.000225,0.1,80,8,0.5,0.0015,0.2,0.2,0,0,0.25,822.28,839.76,17.48,1.78,728,1949.82
302,0.00025,0.1,80,8,0.5,0.0015,0.2,0.2,0,0,0.25,799.38,816.62,17.23,1.65,701,1898.71
303,0.0003,0.1,80,8,0.5,0.0015,0.2,0.2,0,0,0.25,806.89,823.80,16.92,1.97,660,1946.57
304,0.000175,0.1,80,4,0.7,0.0015,0.2,0.2,0,0,0.25,827.40,846.59,19.19,2.03,808,2095.62
305,0.000225,0.1,80,4,0.7,0.0015,0.2,0.2,0,0,0.25,807.64,825.86,18.22,1.85,756,1867.82
306,0.00025,0.1,80,4,0.7,0.0015,0.2,0.2,0,0,0.25,787.95,805.52,17.57,1.90,725,1864.71
307,0.0003,0.1,80,4,0.7,0.0015,0.2,0.2,0,0,0.25,808.33,825.79,17.46,1.78,687,1988.24
308,0.000175,0.1,80,8,0.7,0.0015,0.2,0.2,0,0,0.25,833.32,852.18,18.85,2.07,809,2051.38
309,0.000225,0.1,80,8,0.7,0.0015,0.2,0.2,0,0,0.25,813.60,832.00,18.40,2.11,755,1987.66
310,0.00025,0.1,80,8,0.7,0.0015,0.2,0.2,0,0,0.25,803.92,822.06,18.14,1.88,731,1987.42
311,0.0003,0.1,80,8,0.7,0.0015,0.2,0.2,0,0,0.25,822.78,839.72,16.94,1.89,675,1978.25
312,0.000175,0.1,80,4,0.2,0.003,0.2,0.2,0,0,0.25,515.10,525.02,9.93,1.41,600,995.51
313,0.000225,0.1,80,4,0.2,0.003,0.2,0.2,0,0,0.25,462.08,470.83,8.75,1.19,534,1011.88
314,0.00025,0.1,80,4,0.2,0.003,0.2,0.2,0,0,0.25,497.98,506.34,8.36,1.26,506,953.53
315,0.0003,0.1,80,4,0.2,0.003,0.2,0.2,0,0,0.25,459.55,467.03,7.48,1.21,457,926.53
316,0.000175,0.1,80,8,0.2,0.003,0.2,0.2,0,0,0.25,556.25,566.13,9.87,1.46,597,1128.95
317,0.000225,0.1,80,8,0.2,0.003,0.2,0.2,0,0,0.25,507.50,516.74,9.24,1.23,546,1005.47
318,0.00025,0.1,80,8,0.2,0.003,0.2,0.2,0,0,0.25,496.75,505.16,8.42,1.17,506,923.42
319,0.0003,0.1,80,8,0.2,0.003,0.2,0.2,0,0,0.25,480.33,487.94,7.61,1.38,458,931.00
320,0.000175,0.1,80,4,0.5,0.003,0.2,0.2,0,0,0.25,517.25,527.65,10.40,1.48,639,1105.81
321,0.000225,0.1,80,4,0.5,0.003,0.2,0.2,0,0,0.25,469.54,478.52,8.98,1.13,549,989.35
322,0.00025,0.1,80,4,0.5,0.003,0.2,0.2,0,0,0.25,487.46,496.27,8.81,1.21,540,916.67
323,0.0003,0.1,80,4,0.5,0.003,0.2,0.2,0,0,0.25,517.37,525.35,7.97,1.43,481,1012.97
324,0.000175,0.1,80,8,0.5,0.003,0.2,0.2,0,0,0.25,542.46,552.83,10.38,1.41,633,1090.26
325,0.000225,0.1,80,8,0.5,0.003,0.2,0.2,0,0,0.25,539.55,548.85,9.30,1.53,561,1032.32
326,0.00025,0.1,80,8,0.5,0.003,0.2,0.2,0,0,0.25,513.97,522.78,8.81,1.34,538,929.08
327,0.0003,0.1,80,8,0.5,0.003,0.2,0.2,0,0,0.25,486.38,494.58,8.20,1.26,493,974.15
328,0.000175,0.1,80,4,0.7,0.003,0.2,0.2,0,0,0.25,479.09,489.68,10.59,1.51,647,1102.06
329,0.000225,0.1,80,4,0.7,0.003,0.2,0.2,0,0,0.25,511.42,521.03,9.61,1.22,582,1055.62
330,0.00025,0.1,80,4,0.7,0.003,0.2,0.2,0,0,0.25,542.53,551.71,9.18,1.38,558,1079.79
331,0.0003,0.1,80,4,0.7,0.003,0.2,0.2,0,0,0.25,545.70,554.06,8.37,1.56,504,1026.82
332,0.000175,0.1,80,8,0.7,0.003,0.2,0.2,0,0,0.25,557.13,567.62,10.48,1.40,644,1150.96
333,0.000225,0.1,80,8,0.7,0.003,0.2,0.2,0,0,0.25,528.63,537.97,9.34,1.37,578,977.48
334,0.00025,0.1,80,8,0.7,0.003,0.2,0.2,0,0,0.25,554.52,563.53,9.00,1.38,548,1175.48
335,0.0003,0.1,80,8,0.7,0.003,0.2,0.2,0,0,0.25,524.33,532.79,8.46,1.26,511,932.57
336,0.000175,0.1,80,4,0.2,0.0045,0.2,0.2,0,0,0.25,485.98,495.59,9.61,1.24,605,1080.57
337,0.000225,0.1,80,4,0.2,0.0045,0.2,0.2,0,0,0.25,447.53,456.07,8.54,1.21,529,755.76
338,0.00025,0.1,80,4,0.2,0.0045,0.2,0.2,0,0,0.25,460.98,468.85,7.88,1.18,495,886.79
339,0.0003,0.1,80,4,0.2,0.0045,0.2,0.2,0,0,0.25,441.74,449.00,7.26,1.22,455,881.26
340,0.000175,0.1,80,8,0.2,0.0045,0.2,0.2,0,0,0.25,516.39,526.14,9.75,1.24,609,913.66
341,0.000225,0.1,80,8,0.2,0.0045,0.2,0.2,0,0,0.25,497.31,505.92,8.61,1.11,534,921.40
342,0.00025,0.1,80,8,0.2,0.0045,0.2,0.2,0,0,0.25,508.60,516.67,8.07,1.37,503,1030.83
343,0.0003,0.1,80,8,0.2,0.0045,0.2,0.2,0,0,0.25,446.73,453.92,7.19,1.40,454,952.23
344,0.000175,0.1,80,4,0.5,0.0045,0.2,0.2,0,0,0.25,517.03,526.96,9.94,1.47,621,1077.38
345,0.000225,0.1,80,4,0.5,0.0045,0.2,0.2,0,0,0.25,505.67,514.57,8.90,1.18,554,1065.07
346,0.00025,0.1,80,4,0.5,0.0045,0.2,0.2,0,0,0.25,470.46,478.90,8.44,1.01,534,872.24
347,0.0003,0.1,80,4,0.5,0.0045,0.2,0.2,0,0,0.25,453.69,461.40,7.71,1.20,487,877.71
348,0.000175,0.1,80,8,0.5,0.0045,0.2,0.2,0,0,0.25,570.54,580.49,9.95,1.34,625,1185.55
349,0.000225,0.1,80,8,0.5,0.0045,0.2,0.2,0,0,0.25,532.29,541.15,8.87,1.46,554,1069.05
350,0.00025,0.1,80,8,0.5,0.0045,0.2,0.2,0,0,0.25,552.41,560.74,8.33,1.42,524,1130.32
351,0.0003,0.1,80,8,0.5,0.0045,0.2,0.2,0,0,0.25,470.83,478.51,7.69,1.09,487,830.01
352,0.000175,0.1,80,4,0.7,0.0045,0.2,0.2,0,0,0.25,494.68,504.94,10.26,1.28,643,1039.40
353,0.000225,0.1,80,4,0.7,0.0045,0.2,0.2,0,0,0.25,487.40,496.51,9.11,1.15,569,958.55
354,0.00025,0.1,80,4,0.7,0.0045,0.2,0.2,0,0,0.25,514.69,523.35,8.66,1.34,548,1052.74
355,0.0003,0.1,80,4,0.7,0.0045,0.2,0.2,0,0,0.25,472.72,480.68,7.96,1.30,504,928.80
356,0.000175,0.1,80,8,0.7,0.0045,0.2,0.2,0,0,0.25,561.92,572.15,10.23,1.54,637,1204.19
357,0.000225,0.1,80,8,0.7,0.0045,0.2,0.2,0,0,0.25,518.13,527.23,9.10,1.17,569,975.95
358,0.00025,0.1,80,8,0.7,0.0045,0.2,0.2,0,0,0.25,545.01,553.65,8.64,1.26,541,979.54
359,0.0003,0.1,80,8,0.7,0.0045,0.2,0.2,0,0,0.25,549.13,557.02,7.88,1.37,498,1058.58
360,0.000175,0.1,80,4,0.2,0.0015,0.4,0.2,0,0,0.25,795.52,815.47,19.95,1.95,766,2005.66
361,0.000225,0.1,80,4,0.2,0.0015,0.4,0.2,0,0,0.25,795.75,814.42,18.67,1.70,678,1902.87
362,0.00025,0.1,80,4,0.2,0.0015,0.4,0.2,0,0,0.25,781.59,800.57,18.98,1.74,691,1843.81
363,0.0003,0.1,80,4,0.2,0.0015,0.4,0.2,0,0,0.25,783.28,801.85,18.57,1.95,650,1831.28
364,0.000175,0.1,80,8,0.2,0.0015,0.4,0.2,0,0,0.25,793.35,813.10,19.75,2.15,767,1852.46
365,0.000225,0.1,80,8,0.2,0.0015,0.4,0.2,0,0,0.25,826.83,845.99,19.16,2.23,712,2084.46
366,0.00025,0.1,80,8,0.2,0.0015,0.4,0.2,0,0,0.25,792.90,811.29,18.39,2.04,676,1866.75
367,0.0003,0.1,80,8,0.2,0.0015,0.4,0.2,0,0,0.25,772.25,789.92,17.67,1.70,617,1826.48
368,0.000175,0.1,80,4,0.5,0.0015,0.4,0.2,0,0,0.25,822.35,842.05,19.69,2.00,762,1984.55
369,0.000225,0.1,80,4,0.5,0.0015,0.4,0.2,0,0,0.25,818.20,838.02,19.83,1.77,743,2019.12
370,0.00025,0.1,80,4,0.5,0.0015,0.4,0.2,0,0,0.25,854.72,874.37,19.64,1.90,745,1958.55
371,0.0003,0.1,80,4,0.5,0.0015,0.4,0.2,0,0,0.25,796.37,815.00,18.64,1.93,688,1980.85
372,0.000175,0.1,80,8,0.5,0.0015,0.4,0.2,0,0,0.25,813.21,833.94,20.73,1.87,814,1864.36
373,0.000225,0.1,80,8,0.5,0.0015,0.4,0.2,0,0,0.25,833.02,852.62,19.60,2.32,752,2110.70
374,0.00025,0.1,80,8,0.5,0.0015,0.4,0.2,0,0,0.25,770.11,788.24,18.13,1.59,667,1656.56
375,0.0003,0.1,80,8,0.5,0.0015,0.4,0.2,0,0,0.25,765.98,784.13,18.15,1.63,640,1739.22
376,0.000175,0.1,80,4,0.7,0.0015,0.4,0.2,0,0,0.25,827.85,848.27,20.43,1.99,800,2028.67
377,0.000225,0.1,80,4,0.7,0.0015,0.4,0.2,0,0,0.25,815.61,835.57,19.95,1.81,754,1876.47
378,0.00025,0.1,80,4,0.7,0.0015,0.4,0.2,0,0,0.25,866.79,885.91,19.12,2.04,722,2205.08
379,0.0003,0.1,80,4,0.7,0.0015,0.4,0.2,0,0,0.25,784.78,803.44,18.67,1.62,673,1786.10
380,0.000175,0.1,80,8,0.7,0.0015,0.4,0.2,0,0,0.25,794.23,814.50,20.27,2.40,792,1987.66
381,0.000225,0.1,80,8,0.7,0.0015,0.4,0.2,0,0,0.25,835.37,854.83,19.46,1.63,714,2067.55
382,0.00025,0.1,80,8,0.7,0.0015,0.4,0.2,0,0,0.25,839.47,859.34,19.87,1.78,741,1939.80
383,0.0003,0.1,80,8,0.7,0.0015,0.4,0.2,0,0,0.25,749.67,767.87,18.20,1.60,638,1692.03
384,0.000175,0.1,80,4,0.2,0.003,0.4,0.2,0,0,0.25,528.70,538.81,10.11,1.56,605,1067.53
385,0.000225,0.1,80,4,0.2,0.003,0.4,0.2,0,0,0.25,503.13,512.06,8.94,1.25,538,957.25
386,0.00025,0.1,80,4,0.2,0.003,0.4,0.2,0,0,0.25,501.41,509.85,8.44,1.15,507,992.48
387,0.0003,0.1,80,4,0.2,0.003,0.4,0.2,0,0,0.25,475.94,483.57,7.62,1.72,460,1056.12
388,0.000175,0.1,80,8,0.2,0.003,0.4,0.2,0,0,0.25,541.94,552.24,10.30,1.37,607,1109.85
389,0.000225,0.1,80,8,0.2,0.003,0.4,0.2,0,0,0.25,536.75,545.73,8.98,1.48,534,1020.03
390,0.00025,0.1,80,8,0.2,0.003,0.4,0.2,0,0,0.25,532.20,540.72,8.53,1.36,508,1015.73
391,0.0003,0.1,80,8,0.2,0.003,0.4,0.2,0,0,0.25,502.61,510.25,7.64,1.36,454,1016.80
392,0.000175,0.1,80,4,0.5,0.003,0.4,0.2,0,0,0.25,493.60,504.22,10.62,1.44,641,1056.86
393,0.000225,0.1,80,4,0.5,0.003,0.4,0.2,0,0,0.25,475.66,485.03,9.37,1.17,558,1031.97
394,0.00025,0.1,80,4,0.5,0.003,0.4,0.2,0,0,0.25,517.39,526.35,8.96,1.48,538,1027.51
395,0.0003,0.1,80,4,0.5,0.003,0.4,0.2,0,0,0.25,473.32,481.52,8.19,1.29,493,951.46
396,0.000175,0.1,80,8,0.5,0.003,0.4,0.2,0,0,0.25,545.33,555.79,10.45,1.51,628,1138.93
397,0.000225,0.1,80,8,0.5,0.003,0.4,0.2,0,0,0.25,534.07,543.55,9.49,1.29,565,960.58
398,0.00025,0.1,80,8,0.5,0.003,0.4,0.2,0,0,0.25,472.01,480.87,8.87,1.21,530,892.93
399,0.0003,0.1,80,8,0.5,0.003,0.4,0.2,0,0,0.25,519.58,527.66,8.08,1.47,483,1031.71
400,0.000175,0.1,80,4,0.7,0.003,0.4,0.2,0,0,0.25,527.19,537.85,10.65,1.53,647,1109.45
401,0.000225,0.1,80,4,0.7,0.003,0.4,0.2,0,0,0.25,520.45,530.16,9.71,1.25,580,900.72
402,0.00025,0.1,80,4,0.7,0.003,0.4,0.2,0,0,0.25,503.22,512.42,9.20,1.29,554,951.88
403,0.0003,0.1,80,4,0.7,0.003,0.4,0.2,0,0,0.25,513.49,522.12,8.63,1.39,514,1042.97
404,0.000175,0.1,80,8,0.7,0.003,0.4,0.2,0,0,0.25,601.87,612.70,10.83,1.50,646,1177.78
405,0.000225,0.1,80,8,0.7,0.003,0.4,0.2,0,0,0.25,560.82,570.57,9.76,1.51,586,1228.67
406,0.00025,0.1,80,8,0.7,0.003,0.4,0.2,0,0,0.25,555.33,564.58,9.25,1.49,552,1187.16
407,0.0003,0.1,80,8,0.7,0.003,0.4,0.2,0,0,0.25,515.16,523.64,8.48,1.30,504,924.64
408,0.000175,0.1,80,4,0.2,0.0045,0.4,0.2,0,0,0.25,507.97,517.59,9.62,1.12,600,845.75
409,0.000225,0.1,80,4,0.2,0.0045,0.4,0.2,0,0,0.25,495.25,503.73,8.48,1.42,530,999.97
410,0.00025,0.1,80,4,0.2,0.0045,0.4,0.2,0,0,0.25,477.30,485.31,8.02,1.24,496,943.31
411,0.0003,0.1,80,4,0.2,0.0045,0.4,0.2,0,0,0.25,475.36,482.53,7.17,1.36,454,977.04
412,0.000175,0.1,80,8,0.2,0.0045,0.4,0.2,0,0,0.25,570.55,580.04,9.49,1.35,590,1144.88
413,0.000225,0.1,80,8,0.2,0.0045,0.4,0.2,0,0,0.25,476.53,485.12,8.59,1.24,532,963.47
414,0.00025,0.1,80,8,0.2,0.0045,0.4,0.2,0,0,0.25,518.35,526.45,8.10,1.23,501,1063.36
415,0.0003,0.1,80,8,0.2,0.0045,0.4,0.2,0,0,0.25,490.73,498.07,7.33,1.29,458,937.73
416,0.000175,0.1,80,4,0.5,0.0045,0.4,0.2,0,0,0.25,511.17,521.24,10.07,1.43,631,1077.10
417,0.000225,0.1,80,4,0.5,0.0045,0.4,0.2,0,0,0.25,442.48,451.43,8.95,1.08,553,885.39
418,0.00025,0.1,80,4,0.5,0.0045,0.4,0.2,0,0,0.25,479.65,488.19,8.54,1.23,534,948.45
419,0.0003,0.1,80,4,0.5,0.0045,0.4,0.2,0,0,0.25,515.64,523.36,7.72,1.30,485,985.13
420,0.000175,0.1,80,8,0.5,0.0045,0.4,0.2,0,0,0.25,537.40,547.38,9.98,1.45,620,1076.03
421,0.000225,0.1,80,8,0.5,0.0045,0.4,0.2,0,0,0.25,505.49,514.36,8.87,1.18,552,949.79
422,0.00025,0.1,80,8,0.5,0.0045,0.4,0.2,0,0,0.25,507.50,515.90,8.39,1.08,525,807.44
423,0.0003,0.1,80,8,0.5,0.0045,0.4,0.2,0,0,0.25,475.07,482.72,7.65,1.36,481,943.13
424,0.000175,0.1,80,4,0.7,0.0045,0.4,0.2,0,0,0.25,488.94,499.13,10.19,1.27,643,1020.47
425,0.000225,0.1,80,4,0.7,0.0045,0.4,0.2,0,0,0.25,466.64,475.83,9.20,1.16,572,818.35
426,0.00025,0.1,80,4,0.7,0.0045,0.4,0.2,0,0,0.25,466.28,475.03,8.74,1.35,550,972.03
427,0.0003,0.1,80,4,0.7,0.0045,0.4,0.2,0,0,0.25,510.50,518.56,8.06,1.32,508,967.14
428,0.000175,0.1,80,8,0.7,0.0045,0.4,0.2,0,0,0.25,567.55,577.70,10.14,1.47,641,1178.78
429,0.000225,0.1,80,8,0.7,0.0045,0.4,0.2,0,0,0.25,559.56,568.68,9.11,1.34,567,1049.89
430,0.00025,0.1,80,8,0.7,0.0045,0.4,0.2,0,0,0.25,541.87,550.66,8.80,1.48,551,1069.30
431,0.0003,0.1,80,8,0.7,0.0045,0.4,0.2,0,0,0.25,484.77,492.71,7.94,1.22,501,817.24
432,0.000175,0.1,80,4,0.2,0.0015,0.1,0.5,0,0,0.25,795.10,812.77,17.67,2.17,758,1933.10
433,0.000225,0.1,80,4,0.2,0.0015,0.1,0.5,0,0,0.25,731.12,747.27,16.15,1.86,689,1707.67
434,0.00025,0.1,80,4,0.2,0.0015,0.1,0.5,0,0,0.25,715.02,730.87,15.85,1.78,658,1686.64
435,0.0003,0.1,80,4,0.2,0.0015,0.1,0.5,0,0,0.25,760.27,775.54,15.27,1.86,616,1811.51
436,0.000175,0.1,80,8,0.2,0.0015,0.1,0.5,0,0,0.25,845.38,862.62,17.24,1.92,747,2141.33
437,0.000225,0.1,80,8,0.2,0.0015,0.1,0.5,0,0,0.25,779.42,795.72,16.31,1.89,696,1844.87
438,0.00025,0.1,80,8,0.2,0.0015,0.1,0.5,0,0,0.25,742.96,759.05,16.09,1.92,660,1784.83
439,0.0003,0.1,80,8,0.2,0.0015,0.1,0.5,0,0,0.25,776.88,792.12,15.23,2.04,608,1901.80
