variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
44,0.000175,0.1,80,8,0.7,0.003,0.1,0,0,0,0.25,563.46,574.02,10.55,1.27,644,1136.36
45,0.000225,0.1,80,8,0.7,0.003,0.1,0,0,0,0.25,541.55,551.11,9.55,1.24,582,1026.13
46,0.00025,0.1,80,8,0.7,0.003,0.1,0,0,0,0.25,556.84,565.81,8.96,1.35,552,1118.16
47,0.0003,0.1,80,8,0.7,0.003,0.1,0,0,0,0.25,553.32,561.58,8.25,1.41,509,1018.16
48,0.000175,0.1,80,4,0.2,0.0045,0.1,0,0,0,0.25,508.05,517.65,9.60,1.16,598,826.67
49,0.000225,0.1,80,4,0.2,0.0045,0.1,0,0,0,0.25,488.61,497.11,8.50,1.31,532,1047.33
50,0.00025,0.1,80,4,0.2,0.0045,0.1,0,0,0,0.25,491.37,499.33,7.96,1.41,497,924.28
51,0.0003,0.1,80,4,0.2,0.0045,0.1,0,0,0,0.25,454.46,461.69,7.23,1.64,457,944.57
52,0.000175,0.1,80,8,0.2,0.0045,0.1,0,0,0,0.25,521.96,531.43,9.46,1.21,598,1020.48
53,0.000225,0.1,80,8,0.2,0.0045,0.1,0,0,0,0.25,487.26,495.83,8.58,1.32,533,952.48
54,0.00025,0.1,80,8,0.2,0.0045,0.1,0,0,0,0.25,503.63,511.62,7.99,1.13,501,866.31
55,0.0003,0.1,80,8,0.2,0.0045,0.1,0,0,0,0.25,475.43,482.45,7.03,1.37,447,870.37
56,0.000175,0.1,80,4,0.5,0.0045,0.1,0,0,0,0.25,499.68,509.67,10.00,1.48,629,1097.01
57,0.000225,0.1,80,4,0.5,0.0045,0.1,0,0,0,0.25,517.55,526.40,8.85,1.41,556,1028.41
58,0.00025,0.1,80,4,0.5,0.0045,0.1,0,0,0,0.25,512.34,520.78,8.44,1.25,531,983.93
59,0.0003,0.1,80,4,0.5,0.0045,0.1,0,0,0,0.25,471.78,479.31,7.53,1.31,480,943.57
60,0.000175,0.1,80,8,0.5,0.0045,0.1,0,0,0,0.25,511.65,521.83,10.17,1.39,635,1066.62
61,0.000225,0.1,80,8,0.5,0.0045,0.1,0,0,0,0.25,507.13,516.04,8.90,1.42,557,1003.05
62,0.00025,0.1,80,8,0.5,0.0045,0.1,0,0,0,0.25,468.47,476.98,8.51,1.05,534,771.18
63,0.0003,0.1,80,8,0.5,0.0045,0.1,0,0,0,0.25,459.58,467.12,7.53,1.24,478,924.75
64,0.000175,0.1,80,4,0.7,0.0045,0.1,0,0,0,0.25,533.16,543.46,10.30,1.22,643,1205.79
65,0.000225,0.1,80,4,0.7,0.0045,0.1,0,0,0,0.25,477.37,486.56,9.19,1.13,573,977.46
66,0.00025,0.1,80,4,0.7,0.0045,0.1,0,0,0,0.25,494.12,502.86,8.74,1.26,552,916.05
67,0.0003,0.1,80,4,0.7,0.0045,0.1,0,0,0,0.25,499.83,507.89,8.06,1.23,511,948.33
68,0.000175,0.1,80,8,0.7,0.0045,0.1,0,0,0,0.25,543.53,553.87,10.34,1.45,645,1105.50
69,0.000225,0.1,80,8,0.7,0.0045,0.1,0,0,0,0.25,498.16,507.35,9.19,1.25,575,1019.42
70,0.00025,0.1,80,8,0.7,0.0045,0.1,0,0,0,0.25,522.11,530.84,8.73,1.40,551,1014.65
71,0.0003,0.1,80,8,0.7,0.0045,0.1,0,0,0,0.25,560.84,568.79,7.95,1.41,502,1093.49
72,0.000175,0.1,80,4,0.2,0.0015,0.2,0,0,0,0.25,782.77,801.53,18.76,1.77,780,1797.23
73,0.000225,0.1,80,4,0.2,0.0015,0.2,0,0,0,0.25,769.43,786.99,17.56,1.95,710,1840.20
74,0.00025,0.1,80,4,0.2,0.0015,0.2,0,0,0,0.25,779.22,796.24,17.02,1.70,674,1685.70
75,0.0003,0.1,80,4,0.2,0.0015,0.2,0,0,0,0.25,762.11,778.49,16.37,2.06,634,1927.25
76,0.000175,0.1,80,8,0.2,0.0015,0.2,0,0,0,0.25,828.46,846.90,18.43,2.15,767,2093.42
77,0.000225,0.1,80,8,0.2,0.0015,0.2,0,0,0,0.25,815.78,833.23,17.45,1.95,706,1890.86
78,0.00025,0.1,80,8,0.2,0.0015,0.2,0,0,0,0.25,774.07,790.93,16.86,1.72,676,1728.46
79,0.0003,0.1,80,8,0.2,0.0015,0.2,0,0,0,0.25,746.94,763.31,16.37,1.76,628,1724.05
80,0.000175,0.1,80,4,0.5,0.0015,0.2,0,0,0,0.25,846.08,865.07,18.99,2.23,805,2016.89
81,0.000225,0.1,80,4,0.5,0.0015,0.2,0,0,0,0.25,781.51,799.04,17.53,1.94,725,1940.01
82,0.00025,0.1,80,4,0.5,0.0015,0.2,0,0,0,0.25,766.70,783.80,17.10,1.78,698,1820.19
83,0.0003,0.1,80,4,0.5,0.0015,0.2,0,0,0,0.25,808.29,825.04,16.75,1.89,662,1895.81
84,0.000175,0.1,80,8,0.5,0.0015,0.2,0,0,0,0.25,816.79,835.84,19.06,1.84,801,1933.11
85,0.000225,0.1,80,8,0.5,0.0015,0.2,0,0,0,0.25,823.16,840.80,17.64,2.17,730,2115.54
86,0.00025,0.1,80,8,0.5,0.0015,0.2,0,0,0,0.25,777.14,794.50,17.37,1.71,705,1860.52
87,0.0003,0.1,80,8,0.5,0.0015,0.2,0,0,0,0.25,779.96,796.69,16.73,1.97,658,1957.35
88,0.000175,0.1,80,4,0.7,0.0015,0.2,0,0,0,0.25,773.97,793.13,19.15,1.93,812,1789.53
89,0.000225,0.1,80,4,0.7,0.0015,0.2,0,0,0,0.25,806.11,824.23,18.12,1.83,755,1856.93
90,0.00025,0.1,80,4,0.7,0.0015,0.2,0,0,0,0.25,801.98,819.69,17.71,1.98,723,1932.86
91,0.0003,0.1,80,4,0.7,0.0015,0.2,0,0,0,0.25,787.65,804.88,17.23,1.77,682,1961.51
92,0.000175,0.1,80,8,0.7,0.0015,0.2,0,0,0,0.25,833.43,852.52,19.09,2.14,816,2073.43
93,0.000225,0.1,80,8,0.7,0.0015,0.2,0,0,0,0.25,834.69,852.89,18.20,1.82,742,1882.73
94,0.00025,0.1,80,8,0.7,0.0015,0.2,0,0,0,0.25,792.58,810.52,17.94,1.80,725,1862.69
95,0.0003,0.1,80,8,0.7,0.0015,0.2,0,0,0,0.25,803.21,820.43,17.22,1.83,685,1908.29
