variant  place_thresh  pred_momentum_coef  curv_impulse_coef  premium_ema_coef  premium_tdc_s  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
284      0.00015       0.5                 5                  0.2               120            0.5                   1287.01  1306.49         19.48     0.84    244       1962.38
190      0.0001        0.7                 5                  0.8               120            0.1                   2056.00  2084.33         28.33     0.73    358       1975.88
326      0.00015       0                   5                  0.5               120            0.5                   1255.76  1278.55         22.79     0.83    282       1978.08
46       0.0001        0.7                 5                  0                 120            0.1                   1982.31  2012.46         30.15     0.60    382       1978.59
23       0.00015       0.7                 1                  0                 120            0.1                   1752.36  1781.72         29.36     0.56    363       1982.46
377      0.00015       0.2                 5                  0.8               120            0.5                   1152.38  1172.56         20.18     0.81    242       1990.33
175      0.0001        0.5                 3                  0.8               120            0.1                   2276.06  2308.61         32.54     0.66    405       1991.28
71       0.00015       0.7                 1                  0.2               120            0.1                   1802.92  1831.37         28.45     0.56    352       1992.64
25       0.0001        0                   3                  0                 120            0.1                   2195.86  2236.10         40.23     0.56    501       2000.25
218      0.00015       0                   3                  0                 120            0.5                   1367.13  1392.67         25.54     0.73    316       2025.14
181      0.0001        0                   5                  0.8               120            0.1                   2019.60  2056.49         36.89     0.77    466       2029.06
142      0.0001        0.7                 5                  0.5               120            0.1                   1992.00  2020.18         28.18     0.65    359       2030.04
383      0.00015       0.7                 5                  0.8               120            0.5                   1160.29  1178.10         17.81     0.92    218       2032.49
184      0.0001        0.2                 5                  0.8               120            0.1                   2117.84  2150.59         32.75     0.74    412       2038.87
94       0.0001        0.7                 5                  0.2               120            0.1                   2037.85  2067.33         29.48     0.62    376       2046.68
121      0.0001        0                   3                  0.5               120            0.1                   2016.43  2055.90         39.47     0.61    501       2049.94
17       0.00015       0.2                 1                  0                 120            0.1                   1750.48  1782.48         32.00     0.54    384       2062.39
527      0.00015       0.7                 5                  0.5               120            1                     1099.45  1117.50         18.05     1.05    222       2067.01
272      0.00015       0.5                 3                  0.2               120            0.5                   1365.19  1387.15         21.97     0.81    272       2069.31
224      0.00015       0.5                 3                  0                 120            0.5                   1362.76  1385.29         22.54     0.74    280       2076.79
380      0.00015       0.5                 5                  0.8               120            0.5                   1051.92  1070.12         18.20     0.85    224       2081.50
139      0.0001        0.5                 5                  0.5               120            0.1                   2101.89  2131.53         29.65     0.64    375       2098.18
329      0.00015       0.2                 5                  0.5               120            0.5                   1204.29  1224.93         20.64     0.85    254       2108.10
169      0.0001        0                   3                  0.8               120            0.1                   2072.59  2113.24         40.65     0.65    511       2111.50
199      0.0001        0.5                 0                  0                 120            0.5                   2279.89  2325.09         45.20     0.67    565       2116.64
212      0.00015       0.5                 1                  0                 120            0.5                   1627.49  1655.17         27.68     0.77    337       2122.61
323      0.00015       0.7                 3                  0.5               120            0.5                   1304.09  1324.75         20.65     0.86    256       2124.77
149      0.00015       0.2                 0                  0.8               120            0.1                   1847.89  1883.02         35.12     0.54    421       2128.90
248      0.00015       0.5                 0                  0.2               120            0.5                   1819.71  1852.31         32.60     0.73    397       2133.83
221      0.00015       0.2                 3                  0                 120            0.5                   1324.31  1348.03         23.73     0.78    293       2150.68
215      0.00015       0.7                 1                  0                 120            0.5                   1634.96  1661.72         26.76     0.77    331       2154.45
314      0.00015       0                   3                  0.5               120            0.5                   1292.56  1317.46         24.89     0.85    311       2158.44
260      0.00015       0.5                 1                  0.2               120            0.5                   1651.05  1677.60         26.55     0.81    330       2162.27
332      0.00015       0.5                 5                  0.5               120            0.5                   1182.61  1201.96         19.35     0.86    242       2162.97
428      0.00015       0.5                 5                  0                 120            1                     1229.16  1248.34         19.18     0.87    236       2181.79
476      0.00015       0.5                 5                  0.2               120            1                     1108.72  1127.33         18.61     1.01    231       2192.96
172      0.0001        0.2                 3                  0.8               120            0.1                   2210.11  2245.80         35.69     0.72    450       2197.84
336      5e-05         0                   0                  0.8               120            0.5                   2250.18  2321.17         70.99     0.66    856       2202.58
14       0.00015       0                   1                  0                 120            0.1                   1961.66  1996.11         34.46     0.52    414       2203.84
91       0.0001        0.5                 5                  0.2               120            0.1                   2080.62  2111.18         30.56     0.58    382       2209.48
320      0.00015       0.5                 3                  0.5               120            0.5                   1285.94  1307.15         21.21     0.84    264       2218.00
416      0.00015       0.5                 3                  0                 120            1                     1400.44  1421.61         21.16     0.92    261       2218.49
180      5e-05         0                   5                  0.8               120            0.1                   2088.86  2143.16         54.30     0.68    667       2249.06
368      0.00015       0.5                 3                  0.8               120            0.5                   1306.55  1326.69         20.15     0.96    248       2253.28
245      0.00015       0.2                 0                  0.2               120            0.5                   1919.34  1953.52         34.17     0.70    412       2254.69
458      0.00015       0                   3                  0.2               120            1                     1291.12  1315.05         23.93     0.96    296       2260.93
183      5e-05         0.2                 5                  0.8               120            0.1                   2140.82  2188.32         47.51     0.61    585       2264.53
470      0.00015       0                   5                  0.2               120            1                     1248.63  1270.81         22.18     0.92    268       2265.61
37       0.0001        0                   5                  0                 120            0.1                   1971.86  2007.67         35.81     0.57    451       2267.87
0        5e-05         0                   0                  0                 120            0.1                   2345.14  2413.96         68.82     0.53    800       2279.38
10       0.0001        0.7                 0                  0                 120            0.1                   2381.52  2428.75         47.23     0.60    578       2308.32
371      0.00015       0.7                 3                  0.8               120            0.5                   1296.28  1315.89         19.61     0.82    242       2321.39
43       0.0001        0.5                 5                  0                 120            0.1                   2183.03  2213.72         30.69     0.62    386       2333.71
467      0.00015       0.7                 3                  0.2               120            1                     1263.86  1284.40         20.54     1.02    258       2335.29
178      0.0001        0.7                 3                  0.8               120            0.1                   2294.87  2326.37         31.50     0.72    392       2335.89
506      0.00015       0                   3                  0.5               120            1                     1304.54  1328.20         23.66     1.03    290       2346.52
197      0.00015       0.2                 0                  0                 120            0.5                   1823.45  1858.63         35.18     0.66    422       2347.97
13       0.0001        0                   1                  0                 120            0.1                   2306.53  2354.71         48.18     0.58    594       2354.11
569      0.00015       0.2                 5                  0.8               120            1                     1073.45  1092.74         19.29     0.93    233       2361.61
348      5e-05         0                   1                  0.8               120            0.5                   2070.91  2132.83         61.92     0.73    761       2362.41
410      0.00015       0                   3                  0                 120            1                     1389.29  1413.76         24.47     0.91    299       2362.90
51       5e-05         0.2                 0                  0.2               120            0.1                   2373.76  2437.55         63.78     0.55    750       2364.22
235      0.0001        0.5                 5                  0                 120            0.5                   1736.99  1765.69         28.71     0.80    364       2368.67
8        0.00015       0.5                 0                  0                 120            0.1                   2021.06  2058.35         37.29     0.59    436       2373.83
154      0.0001        0.7                 0                  0.8               120            0.1                   2442.30  2485.52         43.22     0.65    537       2379.30
257      0.00015       0.2                 1                  0.2               120            0.5                   1710.94  1738.75         27.81     0.78    344       2384.95
461      0.00015       0.2                 3                  0.2               120            1                     1299.25  1321.24         21.99     0.98    272       2394.56
413      0.00015       0.2                 3                  0                 120            1                     1323.14  1345.49         22.35     0.91    278       2397.24
229      0.0001        0                   5                  0                 120            0.5                   1673.19  1706.28         33.09     0.75    412       2401.55
518      0.00015       0                   5                  0.5               120            1                     1195.14  1217.12         21.98     1.10    270       2409.54
3        5e-05         0.2                 0                  0                 120            0.1                   2512.54  2575.59         63.05     0.55    742       2412.76
34       0.0001        0.7                 3                  0                 120            0.1                   2134.15  2167.93         33.78     0.59    428       2417.77
209      0.00015       0.2                 1                  0                 120            0.5                   1714.75  1743.24         28.48     0.78    349       2439.07
335      0.00015       0.7                 5                  0.5               120            0.5                   1222.49  1241.23         18.73     1.05    231       2446.58
425      0.00015       0.2                 5                  0                 120            1                     1293.91  1313.93         20.02     0.97    247       2449.30
194      0.00015       0                   0                  0                 120            0.5                   1871.25  1909.25         37.99     0.73    456       2457.15
382      0.0001        0.7                 5                  0.8               120            0.5                   1625.83  1652.07         26.23     0.86    329       2462.24
189      5e-05         0.7                 5                  0.8               120            0.1                   2341.96  2383.03         41.07     0.71    506       2468.26
79       0.0001        0.5                 3                  0.2               120            0.1                   2249.17  2282.54         33.38     0.61    424       2469.23
277      0.0001        0                   5                  0.2               120            0.5                   1723.14  1756.17         33.03     0.81    418       2472.44
311      0.00015       0.7                 1                  0.5               120            0.5                   1557.67  1582.31         24.64     0.92    304       2478.58
338      0.00015       0                   0                  0.8               120            0.5                   1589.37  1624.49         35.12     0.79    428       2480.05
254      0.00015       0                   1                  0.2               120            0.5                   1741.24  1771.63         30.40     0.86    375       2480.13
130      0.0001        0.7                 3                  0.5               120            0.1                   2234.28  2266.05         31.78     0.67    404       2480.67
365      0.00015       0.2                 3                  0.8               120            0.5                   1321.36  1343.29         21.93     0.87    269       2485.11
515      0.00015       0.7                 3                  0.5               120            1                     1245.13  1264.68         19.55     1.07    243       2487.88
40       0.0001        0.2                 5                  0                 120            0.1                   2251.26  2284.69         33.42     0.58    416       2488.01
127      0.0001        0.5                 3                  0.5               120            0.1                   2329.76  2362.78         33.02     0.64    415       2490.36
24       5e-05         0                   3                  0                 120            0.1                   2371.09  2426.70         55.61     0.57    677       2496.20
464      0.00015       0.5                 3                  0.2               120            1                     1326.22  1347.23         21.01     0.99    262       2497.19
67       0.0001        0.5                 1                  0.2               120            0.1                   2400.55  2440.85         40.30     0.61    504       2506.12
242      0.00015       0                   0                  0.2               120            0.5                   1916.74  1954.04         37.31     0.78    450       2509.86
419      0.00015       0.7                 3                  0                 120            1                     1343.01  1364.05         21.04     0.95    264       2514.91
101      0.00015       0.2                 0                  0.5               120            0.1                   2148.07  2185.27         37.19     0.61    443       2516.00
106      0.0001        0.7                 0                  0.5               120            0.1                   2451.13  2496.35         45.21     0.62    559       2516.51
73       0.0001        0                   3                  0.2               120            0.1                   2194.58  2234.26         39.69     0.58    499       2521.26
360      5e-05         0                   3                  0.8               120            0.5                   1867.19  1921.12         53.93     0.86    664       2526.83
473      0.00015       0.2                 5                  0.2               120            1                     1227.00  1246.65         19.66     1.02    243       2529.97
289      0.0001        0                   0                  0.5               120            0.5                   2339.12  2390.61         51.49     0.68    640       2541.98
151      0.0001        0.5                 0                  0.8               120            0.1                   2528.79  2573.55         44.76     0.64    556       2549.52
455      0.00015       0.7                 1                  0.2               120            1                     1493.76  1517.97         24.21     0.98    299       2551.04
64       0.0001        0.2                 1                  0.2               120            0.1                   2489.31  2533.38         44.07     0.59    545       2553.48
15       5e-05         0.2                 1                  0                 120            0.1                   2627.40  2684.77         57.37     0.58    688       2557.62
232      0.0001        0.2                 5                  0                 120            0.5                   1829.42  1860.23         30.81     0.78    387       2565.49
376      0.0001        0.2                 5                  0.8               120            0.5                   1625.14  1655.58         30.44     0.83    381       2578.68
341      0.00015       0.2                 0                  0.8               120            0.5                   1770.33  1801.87         31.54     0.81    377       2583.10
166      0.0001        0.7                 1                  0.8               120            0.1                   2426.32  2463.20         36.88     0.71    465       2590.05
214      0.0001        0.7                 1                  0                 120            0.5                   2151.73  2189.07         37.34     0.75    471       2594.01
124      0.0001        0.2                 3                  0.5               120            0.1                   2424.69  2460.56         35.86     0.64    449       2594.11
372      5e-05         0                   5                  0.8               120            0.5                   1822.88  1873.23         50.36     0.86    623       2598.43
45       5e-05         0.7                 5                  0                 120            0.1                   2303.71  2345.37         41.67     0.57    514       2600.21
102      5e-05         0.5                 0                  0.5               120            0.1                   2525.72  2584.35         58.63     0.63    704       2604.93
59       0.00015       0.7                 0                  0.2               120            0.1                   2159.56  2194.64         35.09     0.63    420       2610.41
174      5e-05         0.5                 3                  0.8               120            0.1                   2349.08  2395.36         46.28     0.66    568       2611.19
572      0.00015       0.5                 5                  0.8               120            1                     1096.19  1113.42         17.23     1.08    209       2612.07
521      0.00015       0.2                 5                  0.5               120            1                     1226.15  1245.95         19.80     1.11    242       2618.88
391      0.0001        0.5                 0                  0                 120            1                     2181.77  2223.84         42.07     0.80    527       2620.69
20       0.00015       0.5                 1                  0                 120            0.1                   1968.39  1998.49         30.10     0.60    368       2623.45
19       0.0001        0.5                 1                  0                 120            0.1                   2525.26  2566.59         41.33     0.65    514       2626.05
22       0.0001        0.7                 1                  0                 120            0.1                   2385.66  2426.35         40.69     0.66    509       2627.48
217      0.0001        0                   3                  0                 120            0.5                   1923.61  1960.72         37.11     0.83    464       2628.44
244      0.0001        0.2                 0                  0.2               120            0.5                   2419.11  2466.67         47.56     0.65    593       2628.87
266      0.00015       0                   3                  0.2               120            0.5                   1504.46  1529.83         25.38     0.93    311       2629.15
135      5e-05         0.2                 5                  0.5               120            0.1                   2252.55  2299.02         46.47     0.61    570       2629.75
241      0.0001        0                   0                  0.2               120            0.5                   2279.63  2331.58         51.95     0.66    643       2629.92
404      0.00015       0.5                 1                  0                 120            1                     1492.93  1518.39         25.46     0.98    315       2632.43
163      0.0001        0.5                 1                  0.8               120            0.1                   2500.39  2538.64         38.26     0.77    482       2634.09
171      5e-05         0.2                 3                  0.8               120            0.1                   2225.79  2277.34         51.55     0.60    636       2639.16
291      5e-05         0.2                 0                  0.5               120            0.5                   2562.34  2624.36         62.03     0.68    750       2641.48
390      5e-05         0.5                 0                  0                 120            1                     2465.22  2519.81         54.59     0.74    669       2643.57
220      0.0001        0.2                 3                  0                 120            0.5                   2013.64  2047.76         34.11     0.78    430       2645.00
421      0.0001        0                   5                  0                 120            1                     1529.30  1561.29         31.99     0.88    406       2653.73
186      5e-05         0.5                 5                  0.8               120            0.1                   2347.42  2389.87         42.45     0.74    523       2653.91
353      0.00015       0.2                 1                  0.8               120            0.5                   1587.89  1614.02         26.13     0.95    317       2655.37
512      0.00015       0.5                 3                  0.5               120            1                     1233.86  1253.96         20.10     1.08    252       2659.19
157      0.0001        0                   1                  0.8               120            0.1                   2061.26  2109.61         48.36     0.61    601       2660.79
132      5e-05         0                   5                  0.5               120            0.1                   2199.89  2251.91         52.01     0.60    639       2662.67
206      0.00015       0                   1                  0                 120            0.5                   1811.96  1843.12         31.16     0.78    377       2670.18
265      0.0001        0                   3                  0.2               120            0.5                   1933.09  1969.57         36.47     0.84    460       2672.38
202      0.0001        0.7                 0                  0                 120            0.5                   2246.83  2291.10         44.27     0.67    556       2674.91
575      0.00015       0.7                 5                  0.8               120            1                     1182.64  1199.35         16.71     1.03    205       2678.53
93       5e-05         0.7                 5                  0.2               120            0.1                   2282.88  2323.90         41.02     0.59    505       2693.13
7        0.0001        0.5                 0                  0                 120            0.1                   2465.44  2513.81         48.38     0.62    589       2696.19
42       5e-05         0.5                 5                  0                 120            0.1                   2385.13  2428.25         43.12     0.64    531       2697.97
11       0.00015       0.7                 0                  0                 120            0.1                   2201.93  2238.34         36.41     0.67    433       2698.59
554      0.00015       0                   3                  0.8               120            1                     1192.87  1216.70         23.83     1.06    290       2702.83
339      5e-05         0.2                 0                  0.8               120            0.5                   2683.12  2745.21         62.09     0.70    757       2706.39
528      5e-05         0                   0                  0.8               120            1                     2206.72  2273.56         66.84     0.79    816       2707.29
56       0.00015       0.5                 0                  0.2               120            0.1                   2096.64  2132.09         35.45     0.59    426       2707.93
517      0.0001        0                   5                  0.5               120            1                     1463.25  1495.39         32.14     0.96    406       2711.16
524      0.00015       0.5                 5                  0.5               120            1                     1231.57  1249.99         18.42     1.18    229       2716.57
280      0.0001        0.2                 5                  0.2               120            0.5                   1653.26  1683.55         30.30     0.73    381       2717.06
427      0.0001        0.5                 5                  0                 120            1                     1402.56  1424.92         22.37     0.97    288       2720.76
560      0.00015       0.5                 3                  0.8               120            1                     1161.37  1180.68         19.32     1.09    234       2723.47
208      0.0001        0.2                 1                  0                 120            0.5                   2265.02  2305.66         40.65     0.75    506       2725.53
58       0.0001        0.7                 0                  0.2               120            0.1                   2595.31  2641.50         46.19     0.64    572       2730.56
432      5e-05         0                   0                  0.2               120            1                     2598.94  2662.85         63.91     0.73    770       2733.02
76       0.0001        0.2                 3                  0.2               120            0.1                   2190.74  2227.07         36.32     0.57    460       2733.37
16       0.0001        0.2                 1                  0                 120            0.1                   2534.90  2579.38         44.49     0.65    547       2749.19
201      5e-05         0.7                 0                  0                 120            0.5                   2556.72  2611.60         54.88     0.70    667       2753.27
84       5e-05         0                   5                  0.2               120            0.1                   2247.94  2299.24         51.29     0.60    630       2764.84
565      0.0001        0                   5                  0.8               120            1                     1403.91  1436.49         32.58     0.99    414       2765.66
531      5e-05         0.2                 0                  0.8               120            1                     2384.99  2443.69         58.69     0.76    715       2766.75
