variant,place_thresh,cancel_buffer,front_rung_spacing_mult,max_pos,pred_momentum_coef,premium_ema_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
55,0.0003,0.1,0.25,80,1,0,0.1,239.66,244.22,4.56,0.64,268,196.01
56,0.0005,0.1,0.25,80,1,0,0.1,105.90,108.73,2.84,0.33,167,17.88
57,0.00025,0.1,1,80,1,0,0.1,208.05,212.51,4.46,0.54,253,157.79
58,0.0003,0.1,1,80,1,0,0.1,123.18,126.81,3.63,0.45,206,36.86
59,0.0005,0.1,1,80,1,0,0.1,42.86,45.08,2.22,0.17,113,9.56
60,0.00025,0.1,0.25,100,1,0,0.1,318.25,323.53,5.29,0.73,318,180.00
61,0.0003,0.1,0.25,100,1,0,0.1,241.50,246.21,4.71,0.62,278,185.66
62,0.0005,0.1,0.25,100,1,0,0.1,112.79,115.67,2.88,0.32,168,24.67
63,0.00025,0.1,1,100,1,0,0.1,167.75,172.21,4.46,0.39,260,-1.63
64,0.0003,0.1,1,100,1,0,0.1,49.05,52.78,3.73,0.13,213,-26.66
65,0.0005,0.1,1,100,1,0,0.1,-4.26,-2.15,2.11,-0.01,118,-57.86
66,0.00025,0.1,0.25,140,1,0,0.1,60.81,66.34,5.53,0.09,330,-40.01
67,0.0003,0.1,0.25,140,1,0,0.1,0.06,4.84,4.79,0.00,285,-30.15
68,0.0005,0.1,0.25,140,1,0,0.1,-62.61,-59.63,2.98,-0.09,166,-37.49
69,0.00025,0.1,1,140,1,0,0.1,30.57,35.10,4.54,0.05,266,-130.80
70,0.0003,0.1,1,140,1,0,0.1,-6.42,-2.69,3.74,-0.01,218,-68.38
71,0.0005,0.1,1,140,1,0,0.1,-132.71,-130.50,2.21,-0.27,116,-133.13
72,0.00025,0.1,0.25,80,0,0.1,0.1,288.88,295.44,6.55,0.69,402,150.14
73,0.0003,0.1,0.25,80,0,0.1,0.1,304.70,310.26,5.56,0.72,347,350.08
74,0.0005,0.1,0.25,80,0,0.1,0.1,150.65,153.88,3.22,0.35,192,84.72
