ticker,shock_et,session,venue,is_earnings,earnings_date,bucket,is_shock,close,ret_pct,cum_pct,notional,shares,prev_day_notional,vs_prev,vs_base,baseline,hl_ret_pct,hl_peak_nsig
AAPL,2026-01-29 17:20,postmarket,XNAS.BASIC,True,2026-01-29,17:10,False,259.76,,0.0,27297927.53,104702.0,1329762.16,20.52842858004021,0.4192781177214894,65106969.27935787,0.4360240777897761,30.45228584474952
AAPL,2026-01-29 17:20,postmarket,XNAS.BASIC,True,2026-01-29,17:15,False,259.2435,-0.19883738835848597,-0.19883738835848597,37884428.9271,145993.0,1736397.5439,21.81783144084071,0.5818797794833193,65106969.27935787,0.4360240777897761,30.45228584474952
AAPL,2026-01-29 17:20,postmarket,XNAS.BASIC,True,2026-01-29,17:20,True,265.83,2.540661578785963,2.336772405297194,224849415.43,851931.0,5538855.8438,40.594921003710276,3.4535383526336,65106969.27935787,0.4360240777897761,30.45228584474952
AAPL,2026-01-29 17:20,postmarket,XNAS.BASIC,True,2026-01-29,17:25,False,260.21,-2.1141330925779633,0.17323683400061185,186268054.6551,714840.0,1116023.22,166.90338634271427,2.8609541607730185,65106969.27935787,0.4360240777897761,30.45228584474952
AAPL,2026-01-29 17:20,postmarket,XNAS.BASIC,True,2026-01-29,17:30,False,260.0,-0.08070404673148346,0.09239297813365965,53099032.449999996,204092.0,1035463.5271999999,51.28044692562494,0.8155660298387597,65106969.27935787,0.4360240777897761,30.45228584474952
AMD,2026-02-24 07:05,premarket,XNAS.BASIC,False,,06:55,False,197.4,,0.0,84494.2,428.0,185620.05,0.4551997480875584,0.0018592928510705307,45444266.593802325,2.149321266968318,8.84136367122967
AMD,2026-02-24 07:05,premarket,XNAS.BASIC,False,,07:00,False,221.28,12.097264437689969,12.097264437689969,118332646.7,541108.0,682702.05,173.32985407030782,2.6039070617576687,45444266.593802325,2.149321266968318,8.84136367122967
AMD,2026-02-24 07:05,premarket,XNAS.BASIC,False,,07:05,True,225.8,2.0426608821402903,14.387031408308015,94789308.08000001,421167.0,239656.65000000002,395.5212929831073,2.0858364582547217,45444266.593802325,2.149321266968318,8.84136367122967
AMD,2026-02-24 07:05,premarket,XNAS.BASIC,False,,07:10,False,223.37,-1.07617360496014,13.156028368794326,62239788.73,277108.0,188209.33000000002,330.6944917661627,1.3695850630910664,45444266.593802325,2.149321266968318,8.84136367122967
AMD,2026-02-24 07:05,premarket,XNAS.BASIC,False,,07:15,False,221.07,-1.029681694050233,11.990881458966562,45424577.79000001,205266.0,60520.84,750.5609272772818,0.9995667483430131,45444266.593802325,2.149321266968318,8.84136367122967
AMD,2026-06-07 20:00,overnight,OCEA.MEMOIR,False,,19:50,False,,,,0.0,0.0,0.0,,0.0,160208002.43791473,2.1839302171071,10.392221760455405
AMD,2026-06-07 20:00,overnight,OCEA.MEMOIR,False,,19:55,False,,,,0.0,0.0,0.0,,0.0,160208002.43791473,2.1839302171071,10.392221760455405
AMD,2026-06-07 20:00,overnight,OCEA.MEMOIR,False,,20:00,True,477.52,,,4518237.699999999,9569.0,0.0,,0.028202322176452754,160208002.43791473,2.1839302171071,10.392221760455405
AMD,2026-06-07 20:00,overnight,OCEA.MEMOIR,False,,20:05,False,474.36,-0.6617523873345577,,4171750.59,8814.0,0.0,,0.026039589324613636,160208002.43791473,2.1839302171071,10.392221760455405
AMD,2026-06-07 20:00,overnight,OCEA.MEMOIR,False,,20:10,False,473.0,-0.2867020828063116,,3035987.48,6423.0,0.0,,0.018950286089338974,160208002.43791473,2.1839302171071,10.392221760455405
AMD,2026-07-23 16:00,postmarket,XNAS.BASIC,False,,15:50,False,537.4,,0.0,162280914.4354,301656.0,176463175.4852,0.9196304780824403,1.6085586873571054,100885914.6457571,2.178507861168799,13.32368411285048
AMD,2026-07-23 16:00,postmarket,XNAS.BASIC,False,,15:55,False,539.5662,0.4030889467808052,0.4030889467808052,203188743.25800002,376868.0,173845885.24479997,1.1687866121874617,2.0140447154735233,100885914.6457571,2.178507861168799,13.32368411285048
AMD,2026-07-23 16:00,postmarket,XNAS.BASIC,False,,16:00,True,551.28,2.1709662317617395,2.5828061034611105,190844315.51999998,347658.0,54137723.575,3.525163285737582,1.891684445644526,100885914.6457571,2.178507861168799,13.32368411285048
AMD,2026-07-23 16:00,postmarket,XNAS.BASIC,False,,16:05,False,556.06,0.8670729937599653,3.472273911425372,78962489.89999999,142341.0,21279227.4196,3.710778043909092,0.782690925460335,100885914.6457571,2.178507861168799,13.32368411285048
AMD,2026-07-23 16:00,postmarket,XNAS.BASIC,False,,16:10,False,554.7675,-0.23243894543752974,3.2317640491254407,42243357.1131,75940.0,8239828.6026,5.12672764816619,0.4187240335921027,100885914.6457571,2.178507861168799,13.32368411285048
AMD,2026-02-03 16:15,postmarket,XNAS.BASIC,True,2026-02-03,16:05,False,242.8537,,0.0,17305585.1936,71044.0,26112307.268,0.6627367323762912,0.23591219725589857,73356042.60778552,-6.973868601104616,34.98966375907853
AMD,2026-02-03 16:15,postmarket,XNAS.BASIC,True,2026-02-03,16:10,False,243.56,0.29083353475776175,0.29083353475776175,19303861.71,79590.0,4283941.88,4.50609794687504,0.2631529867718248,73356042.60778552,-6.973868601104616,34.98966375907853
AMD,2026-02-03 16:15,postmarket,XNAS.BASIC,True,2026-02-03,16:15,True,229.27,-5.867137460995231,-5.593367529504389,237030087.57999998,1013970.0,5676430.64,41.75688960413335,3.231227846454781,73356042.60778552,-6.973868601104616,34.98966375907853
AMD,2026-02-03 16:15,postmarket,XNAS.BASIC,True,2026-02-03,16:20,False,232.84,1.557116064029307,-4.1233466897971915,172825356.7988,747248.0,10371282.46,16.663836653312014,2.3559798300850194,73356042.60778552,-6.973868601104616,34.98966375907853
AMD,2026-02-03 16:15,postmarket,XNAS.BASIC,True,2026-02-03,16:25,False,230.4,-1.0479299089503513,-5.128066815535448,130093095.75999999,560320.0,24420785.6762,5.327146205897302,1.7734475734408384,73356042.60778552,-6.973868601104616,34.98966375907853
AMD,2026-05-05 16:15,postmarket,XNAS.BASIC,True,2026-05-05,16:05,False,355.94,,0.0,25884713.79,72820.0,4557061.75,5.680132333076242,0.2141320554847321,120882012.41707882,5.258426966292151,16.544022837502336
